ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
ENTPD4,AKR1B1,CACYBP,HMGB2,BCLAF1,ASB1,AP2A2,ALYREF,CDC123,KARS,ARID2,COX17,ARL4A,AP2A2,ARHGDIA,ATG16L2,AKR7A2,CCZ1,ANAPC16,FKBP1A,C12orf57,AMZ2,ATP6V0C,AP1M1,ANAPC11,CCZ1,ARID5B,AP3S1,ARL2,FCMR,EIF1,C18orf25,B2M,ANGEL2,ADPGK,ANXA4,CDC42EP3,GPBP1,ASCC3,ARF1,B2M,JUN,EIF4A1,APPL1,ARHGDIB,,EFHD2,CDC123,CYLD,CHD3,ANXA11,CCZ1,BCLAF1,EXOG,DGKZ,CDYL,TBC1D10C,AKT1,NUP50,AP2B1,ATP6AP2,MTDH,DHX15,ANKHD1,PKM,ACTG1,COX5A,LSM5,AKIRIN1,JTB,CIR1,BRD2,DCK
FAM133B,ALDOA,CAPN15,JAK1,BHLHE40,ATP11B,APMAP,ANAPC16,CHD1,KLRC2,ARPC1A,CYB561D2,ATAD2,AP3B1,ARPC3,ATP1A1,ANKRD28,CELF2,ANKHD1,FOXP1,C18orf32,ANKRD11,B9D2,APRT,APRT,CD164,ATMIN,APMAP,ATG3,GGA1,GSTP1,C19orf12,BLVRA,ANP32E,ADSS,APMAP,CGGBP1,KANSL1,ATP1B3,ARF5,BAX,KLRK1,EML3,APRT,ATG12,,EID1,CHCHD2,DDX3X,CHTOP,AP2B1,COQ10B,BTG1,G3BP2,EIF3H,COX6C,TSHZ1,ANKRD12,POLD2,ARAP1,BID,NASP,ESCO1,AP3D1,PTMA,ACTR10,CSNK1A1,MCRIP1,ALG13,MFNG,COPZ1,C19orf53,DEK
FRG1,ANAPC11,CCT8,NFYB,BTG2,ATP6AP2,ARF6,ANAPC5,CHTOP,LARP7,ARPC1B,DDX46,ATF4,APTX,ATIC,ATP2A2,ANXA11,CENPC,ANKRD28,MRPL23,C1orf21,ANP32A,BFAR,AREG,ARL6IP6,CDK13,AUTS2,ARFGAP2,ATG4B,GTF3C1,H3F3B,CTBS,BTF3,AP1B1,AFF4,APPL1,CNBP,KDM5B,BIRC6,ARGLU1,BEX4,LRBA,ERICH1,ARAP1,ATP1A1,,FAM177A1,CHCHD7,DESI2,CISD1,APH1A,COX20,CCDC92,GOLT1B,ENTPD1-AS1,DNAJC19,,ANKRD13D,PSMG4,ARAP2,BRD7,PDS5B,FBXO33,APMAP,TMSB10,ACTR2,CWC15,NSMCE1,ALOX5AP,MOB3A,COX6A1,CCT5,DNAJC8
FTH1,AP2A2,CD63,NIN,C1GALT1,C1orf52,ARHGDIA,ANKRD13D,CIB1,LEPROTL1,ARPC3,DGUOK,ATG3,ARAP2,ATP6V0D1,ATP6V0B,AP1G2,CHCHD5,ANKRD54,MRPS12,CCDC18-AS1,ANP32B,BIRC2,ARF6,ATAD2,CHMP3,B3GAT3,ARHGAP9,ATG5,HP1BP3,HLA-B,DOCK8,C17orf49,AP1M1,AHNAK,ARF1,COX5A,LSM8,C19orf25,ARHGAP4,BLVRB,LY6E,FEM1A,ARF4,ATP8A1,,FDX1,CHI3L2,DGUOK,CNOT7,ARF1,DCTD,CDIP1,HLA-F,FGD5-AS1,DR1,,AP1S2,RAN,ARID4B,CAMTA1,PPIG,GPATCH2L,APTX,TOMM22,ACTR3,CYHR1,PPP2R1A,ALYREF,MRPS36,COX7A2,CHCHD7,DPYSL2
GIGYF1,ARF1,CHP1,NR4A2,CBLB,CAMK1D,ARL5A,AP2S1,CNBP,MYL6,ARPC4,DNAJB6,ATMIN,ARFGEF1,ATP6V1E1,BAG5,AP3S1,CISD1,ANXA2R,NDUFA12,CD300A,ANXA2,BSG,ARMCX3,ATG101,CISD2,BCAP31,ARHGDIB,ATP6V1F,ING4,HNRNPA0,DOK2,C2orf74,APOL2,AKAP7,ARF4,CREBRF,LYRM1,CBLB,ARHGDIA,BRAF,MAF,FOS,ARHGAP9,B3GAT3,,GATA3,CHURC1,EIF4E,CNPPD1,ARHGEF1,DCUN1D5,CELF1,HPF1,GAS5,EIF1AY,,APMAP,RASSF4,ASXL1,CAST,RBL2,ITGB1,ARF4,,ADAP1,DCAF7,PSIP1,ANAPC16,NHP2,CSTF2T,CHMP1B,FRG1
GSAP,ARF4,CMIP,PCNX4,CD2AP,CAPN15,ARMC8,APBA2,COPS5,NFKBIZ,ASAH1,DR1,BAZ1B,ARHGAP25,ATP6V1F,BRAF,APC,COPS2,ANXA7,PCBP1,CD52,AP5Z1,BTG1,ARSG,ATP6V0D1,CWC22,BCL2L1,ARL6IP1,B4GALT1,IQGAP1,IER2,DPF2,C4orf3,APRT,ALG13,ARF6,CTNNBIP1,MED4,CCDC107,ARHGEF3,BRD2,NIPBL,GATA3,ARHGEF1,BAZ1A,,ISY1,CRIPT,ERICH1,COX7A2L,ARL16,DDX3Y,CHMP1B,KLF2,GZMB,ETFB,,ARHGAP25,RRBP1,ATP1A1,CCDC18-AS1,RPL13A,LINC01138,ARL6IP5,,ADD1,DIAPH1,RPA2,ANKRD11,NOTCH1,DDIT3,CIRBP,G3BP1
HPCAL1,ARHGAP12,COQ7,PHIP,CD46,CASP8,ARPC2,APMAP,CPSF3,PAK2,ATG12,E2F4,BLOC1S1,ARHGAP9,ATXN2L,C2orf74,ARF1,COX8A,AP2A2,PET100,CDK2AP2,APBB1IP,C12orf57,ASAH1,B2M,CYP51A1,BOD1L1,ARL6IP5,BANF1,LPCAT1,IER5,DTD1,C6orf226,ARF4,AMD1,ARGLU1,DNAJB6,MIS18BP1,CD320,ARPC1A,CLEC11A,NR4A2,GLUD1,ARL2BP,BRD2,,LSM5,CTSC,ETFA,CRELD1,ARL4C,DNAJC1,CUL2,MAP3K13,HMGN3,FMR1,,ARHGDIA,SERF2,ATP6AP2,CCDC186,RPS15A,LONP2,ARPC2,,ADD3,DNAJC19,RPL22,ANKRD44,ODC1,DNAJB9,COX4I1,HMGB1
ID2,ARHGDIB,CPSF6,PRKD3,CHST11,CD2AP,ARPC3,APPL1,CREM,PIK3R1,ATP2A3,EHD1,BTG2,ARHGDIB,AUP1,CALR,ARFGAP2,CYB5D2,AP2B1,PPP1R10,CHD4,ARAP2,C9orf16,ATG4B,BAZ1B,DDX17,BORCS5,ARPC1B,BIRC6,LSM8,JUND,DTX3,CALM2,ARHGAP12,ANAPC16,ARHGAP4,DUSP10,NCOR1,CHD4,ATF6B,CUTA,PSMB1,HNRNPA0,ARL4C,BTF3,,MAZ,DBI,FAM122B,CUTC,ARL8B,DUS1L,CYB5D2,MED13L,IFNGR1,GFOD1,,ARID5B,SH3BGRL3,ATP6V1F,CCDC25,RPS29,MTPN,ATP2B1,,ADGRG1,DUSP6,RPL36,APMAP,OTULIN,EIF3J,CREM,HMGB2
JAGN1,ARL5A,CST7,RAP1B,CNOT10,CD2BP2,ATAD2B,ARF5,DALRD3,PNISR,ATP6V0C,EID1,C12orf57,ARL4C,B2M,CCDC88C,ARHGDIB,CYHR1,APBB1IP,PRSS23,CLINT1,ARF6,CALR,ATP6V0B,BCKDHA,DNAJC3,C19orf25,ARPC4,BORCS7,MAF1,KMT2E,ELOF1,CCL5,ARHGAP9,ANAPC5,ARHGAP9,ELK4,NKTR,CLTB,ATP6V0C,CYTIP,PTGER4,IER2,ARRDC2,C18orf32,,METTL9,DDX21,FAM13B,DOK2,ASB1,EIF2S3,DAAM1,MSN,INIP,GPSM3,,ARIH1,STK24,BAG6,CHMP5,THRA,PCM1,ATP6V0B,,ADH5,EMC6,RPS8,ARAP2,PPIE,F11R,CTSW,HNRNPH3
LAMP1,ARMCX3,CXXC5,RORA,CPQ,CD83,ATF1,ARF6,DBI,PPM1K,ATP6V0D1,EMC7,C17orf49,ARL6IP5,BANF1,CCDC90B,ARL4C,DCTD,APPL1,PTBP1,CLIP1,ARFGAP3,CCNL1,ATP6V0C,BIRC6,DNTTIP2,CALM2,ASCL2,BRD2,NAP1L4,KRR1,EMP3,CCT2,ARHGEF1,ANKRD12,ARHGEF1,EPB41,PSIP1,COPB1,BBC3,DAZAP2,PYURF,JUNB,ASTE1,C9orf16,,NFKB1,EIF4A1,FAM49A,DUSP2,ATP1A1,EIF3E,DEGS1,NDUFS7,ISG15,GTF3C6,,ARPC2,STMN1,BAZ2B,COQ10B,TNRC6B,RALY,ATXN7L3B,,ADI1,ERH,TAZ,ARF1,PRKCSH,FBL,DMAP1,HPRT1
MRPS36,ARPC1A,DDHD1,SATB1,DCAF13,CDC123,ATG2A,ARGLU1,DNAJB6,PSMA7,ATXN1L,FAM177A1,C22orf39,ARPC1B,BAZ1B,CCM2,ARL6IP1,DENR,ARAP2,RER1,COQ7,ARHGAP9,CD3E,ATXN10,BTF3,DTNBP1,CARS,ATF4,C19orf48,NEAT1,MCL1,FAM3C,CD160,ARID1A,ANKRD39,ARL1,EPS15,RNH1,CREB1,BRI3,DCTN3,RNF213,MAFF,AURKAIP1,CACYBP,,PDS5B,ETF1,FLI1,EIF5B,ATP1B3,EIF6,DHX9,NFAT5,ISY1,KLF10,,ATAD2,TFDP1,BCL10,DAXX,,RIOK3,AURKAIP1,,ADSS,GATA3,ZBTB8OS,ARHGEF1,RPS14,GGA1,DUSP2,IMPA1
NAAA,ARPC1B,DPM3,SMARCA2,DCP1A,CENPT,ATP6AP2,ARHGAP9,EIF4B,PSMB3,BANF1,FIBP,CANX,ASPSCR1,BBX,CCND2,ARL6IP5,DHRS3,ARF1,RPL27,COX17,ARID1A,CD44,ATXN2,C12orf75,DYNLL2,CCAR2,ATMIN,C1orf43,NGDN,METRNL,FGR,CD164,ARID4B,ANXA2R,ARL4C,ESYT2,RPS3A,CTDSP1,C1QBP,DDX49,RSF1,MAP3K8,BABAM1,CANX,,PHACTR2,FAAP20,FXR1,ELOF1,ATP6AP2,ELOF1,DNM1L,RPL36AL,ITGAM,KLHDC3,,ATF4,TGIF1,BNIP3L,DCAF16,,RPS14,B3GAT3,,AKAP8L,GLO1,,ARID1A,RPS4Y1,GNL3,DYNLL2,KHDRBS1
NDUFA5,ATAD2B,DTNBP1,SPTAN1,DDX19A,CEP78,AURKAIP1,ARHGEF3,FAM104B,RPS29,BCAP31,FIP1L1,CAPZA1,ATP2B4,BCL10,CDC37,ARPC4,DHRS4L2,ARF6,RPL41,CUTC,ARL8B,CD69,ATXN7L3B,C16orf91,EIF3D,CCDC82,ATP6V0B,CALM1,NOSIP,MRPL57,FUNDC2,CD300A,ARL2,ANXA4,ARPC2,FAM107B,SLC39A10,CTSC,C9orf16,DEDD2,SELPLG,MEF2D,BZW1,CAST,,PLEKHF1,FAM98C,GNAI3,ETS1,ATP6V0D1,GPR65,EIF4H,RPL6,ITGB1,LMNA,,ATG5,TMEM14C,BUD31,DHPS,,SCFD1,BANF1,,AKTIP,GPATCH8,,ARPC1B,SLC38A1,GNLY,ECH1,LBR
PDCD6,ATF4,DYRK1A,USP33,DXO,CHD1,AZIN1,ARID4B,FAM3C,SKAP2,BID,FUBP1,CAT,B2M,BEX4,CDC42,ASB8,DNAJB1,ARHGDIB,RPS29,DLD,ARPC1A,CENPK,AURKAIP1,C17orf49,EIF3M,CD3E,AUTS2,CANX,NSA2,NDUFA11,FYTTD1,CD38,ARPC2,AP1B1,ARPC3,FNBP1,SUZ12,DDX6,CALM3,DFFA,SLC25A37,MEX3C,CASP3,CBX3,,PNRC1,FIBP,GOLIM4,FHIT,ATP6V0E1,HLA-DQB1,EML4,SERBP1,MAPKAP1,MAP7D1,,ATP6V0C,TMUB1,CCDC18-AS1,DNAJB6,,SENP7,BAZ2B,,ALOX5AP,GTF2A2,,ARPC2,SSR2,GZMH,EIF3E,LYRM2
PPIL3,ATG5,FAM89B,USP9X,EGR2,CNN2,B2M,ARIH1,FRG1,SYNC,BIRC6,FXYD5,CCDC25,B3GNT2,BRIX1,CEP135,ATF4,DNAJC19,ARHGEF1,SKAP1,DNAJC15,ARPC5,CHD4,BAG5,C19orf48,EIF4G1,CDC5L,BOD1L1,CARHSP1,PCBP2,NFKBIA,GABARAPL1,CEBPZ,ARPC3,AP1S2,ASCC3,GDI2,TERF2IP,DNAJC19,CAND1,EIF3H,SRRM1,PLEKHO1,CCDC82,CCAR1,,PPP2CA,FOXN3,GRB2,GBP2,AURKAIP1,HSP90AA1,FAM133B,SF3A3,MAPRE1,NAMPT,,AUP1,TUBA1A,CCND3,EIF4G1,,SPCS3,BBIP1,,ALYREF,HIGD2A,,ARPP19,TMEM256,KLRC2,ERP44,MTCH1
PPP3CA,ATM,FBXL15,VAPA,EIF4A3,COMMD2,BAX,ARMC8,FUNDC1,TRAF3IP3,BRD2,GMIP,CCND3,B3GNT7,BRK1,CHCHD5,ATP2A3,DPM1,ARHGEF3,SNAP47,DNAJC19,ARSG,CHMP1B,BAZ2B,C1QBP,EXOC7,CHMP1B,C1orf43,CASP4,PIK3R1,RPL22,GADD45B,CELF1,ARPC4,AP2M1,ASXL1,GLS,WDR54,EBPL,CBFB,EIF3K,STARD3NL,PRMT9,CCDC88C,CCDC124,,PRPF4B,GTF3A,HSP90B1,GDI2,B3GNT7,JADE1,FBXO32,SNRPB2,NEAT1,NIN,,B2M,TUBB,CCNT1,EZH1,,SRP72,BLVRB,,ANAPC13,HLA-DQB1,,ASXL1,TP53I13,LIME1,FAM177A1,PAFAH1B2
RAD9A,ATMIN,FCRL6,YPEL5,ERO1A,CSNK1G2,BBX,ATF7IP2,G3BP2,UQCRC2,BRI3,KDM2A,CCNL1,BANF1,BZW1,CHD9,ATP2B1,EIF2S2,ARID4A,SNRNP200,DNAJC8,ATG4B,CIB1,BCAP29,C9orf16,FAM204A,CHMP2A,CACYBP,CBX5,POLR2A,RPL9,GUK1,CFLAR,ASXL1,APBA2,ATM,GNAS,ZAP70,EMC4,CCDC85B,EIF4A2,SYF2,PRR7,CCL4,CCDC167,,RPS17,GTF3C6,LAPTM4A,HCLS1,BAZ1B,KAT6A,FNBP1,SYAP1,NELFCD,PECAM1,,BCAP31,,CDC26,FAM98B,,TAF7,C17orf49,,ANKRD11,IFITM3,,ATF6B,UQCRH,MOB2,FES,PLEKHG3
RMND5A,ATP2A3,FOXN3,YWHAZ,ESCO1,CTDSP1,BCAS2,ATG13,GOSR1,UXT,BROX,LYRM7,CD37,BCL11B,C1orf174,CHMP1A,ATP6V0C,EP300,ARL4C,SNRPN,DOCK8,ATIC,CMC1,BCKDHA,CAPZA2,FBXL3,CISD3,CALM1,CCT2,PPCS,RPS12,HELZ,CHMP1A,ATF4,APH1A,ATMIN,GPBP1,,EXOSC9,CCND3,EZR,SYTL2,RBM27,CCND3,CCPG1,,SBDS,HNRNPA3,LRRFIP1,KRT10,BLOC1S1,LYPLA1,GPBP1L1,TBCB,NFKBIZ,PHF20L1,,BOLA2,,CDK13,FEZ1,,TSNAX,C19orf53,,ANKRD12,KLRC3,,ATG12,VASP,NDUFS3,GALNT11,PPIH
RPN2,ATXN1L,GABARAP,ZFAND5,ESYT2,CWC15,BEND7,ATMIN,GPBP1L1,,C11orf58,MANF,CD44,BCL2L1,CALM3,CHMP4B,AURKAIP1,EVI2B,ARL6IP5,SPOCK2,DUSP1,ATP11B,CNN2,BTBD1,CARHSP1,FLOT1,CLEC2B,CALM2,CCT5,PPP6R3,RPS24,HMGN4,CMTM6,ATP6V0C,ARAP2,ATP6AP2,GPRIN3,,FAM43A,CD247,FAM192A,TBRG1,RPL10,CCZ1,CCZ1,,STAT4,HNRNPC,LSM14A,LPXN,BNIP2,MCRS1,GSE1,YWHAB,PBXIP1,PIM3,,CACUL1,,CELF2,GNPTAB,,XRN2,CALCOCO2,,ANKRD28,LDHA,,ATG2A,ZCCHC10,NPAT,GNL3L,PPIP5K2
