ATF1_(+),BATF_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREM_(+),CTCF_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),KLF11_(+),KLF3_(+),MAZ_(+),MXD1_(+),NFATC2_(+),NFATC3_(+),NFYB_(+),NFYC_(+),NR1H2_(+),PHF20_(+),RBPJ_(+),RELA_(+),RUNX1_(+),RXRB_(+),STAT1_(+),STAT2_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
ENTPD4,CACYBP,ASB1,AP2A2,ALYREF,ENTPD4,SH3YL1,CDC123,NMI,KARS,ARID2,COX17,AP2A2,ARHGDIA,ATG16L2,AKR7A2,CCZ1,ANAPC16,FKBP1A,C12orf57,AP1M1,ANAPC11,CCZ1,ARID5B,FAM104A,AP3S1,ARL2,FCMR,KLHDC4,C18orf25,B2M,CITED2,GPBP1,B2M,APPL1,GOLGA4,ARHGDIB,,EIF4B,CDC123,CYLD,ANXA11,CCZ1,,SNRPB2,EXOG,DGKZ,PHF5A,CDYL,TBC1D10C,AKT1,NUP50,AP2B1,ATP6AP2,MTDH,DHX15,UBAP2L,ANKHD1,PKM,ACTG1,COX5A,AKIRIN1,JTB,CIR1,BRD2,DCK
FAM133B,CAPN15,ATP11B,APMAP,ANAPC16,FGR,STK26,CHD1,POMP,KLRC2,ARPC1A,CYB561D2,AP3B1,ARPC3,ATP1A1,ANKRD28,CELF2,ANKHD1,FOXP1,C18orf32,APRT,APRT,CD164,ATMIN,FAM107B,APMAP,ATG3,GGA1,LEPROTL1,C19orf12,BLVRA,CREM,KANSL1,BAX,APRT,GOLGA8B,ATG12,,ETF1,CHCHD2,DDX3X,AP2B1,COQ10B,,SNRPD1,G3BP2,EIF3H,RASSF3,COX6C,TSHZ1,ANKRD12,POLD2,ARAP1,BID,NASP,ESCO1,WDR26,AP3D1,PTMA,ACTR10,CSNK1A1,ALG13,MFNG,COPZ1,C19orf53,DEK
FRG1,CCT8,ATP6AP2,ARF6,ANAPC5,GGA1,WDFY1,CHTOP,PRSS23,LARP7,ARPC1B,DDX46,APTX,ATIC,ATP2A2,ANXA11,CENPC,ANKRD28,MRPL23,C1orf21,AREG,ARL6IP6,CDK13,AUTS2,FLOT1,ARFGAP2,ATG4B,GTF3C1,LSP1,CTBS,BTF3,FERMT3,KDM5B,BEX4,ARAP1,GPBP1L1,ATP1A1,,FRYL,CHCHD7,DESI2,APH1A,COX20,,TMEM126A,GOLT1B,ENTPD1-AS1,SMC3,DNAJC19,,ANKRD13D,PSMG4,ARAP2,BRD7,PDS5B,FBXO33,,APMAP,TMSB10,ACTR2,CWC15,ALOX5AP,MOB3A,COX6A1,CCT5,DNAJC8
FTH1,CD63,C1orf52,ARHGDIA,ANKRD13D,GPX4,,CIB1,RAMP1,LEPROTL1,ARPC3,DGUOK,ARAP2,ATP6V0D1,ATP6V0B,AP1G2,CHCHD5,ANKRD54,MRPS12,CCDC18-AS1,ARF6,ATAD2,CHMP3,B3GAT3,GANAB,ARHGAP9,ATG5,HP1BP3,MRPL33,DOCK8,C17orf49,FOXN3,LSM8,BLVRB,ARF4,HNRNPC,ATP8A1,,GK5,CHI3L2,DGUOK,ARF1,DCTD,,URM1,HLA-F,FGD5-AS1,TNRC6B,DR1,,AP1S2,RAN,ARID4B,CAMTA1,PPIG,GPATCH2L,,APTX,TOMM22,ACTR3,CYHR1,ALYREF,MRPS36,COX7A2,CHCHD7,DPYSL2
GIGYF1,CHP1,CAMK1D,ARL5A,AP2S1,HSPA5,,CNBP,SNX3,MYL6,ARPC4,DNAJB6,ARFGEF1,ATP6V1E1,BAG5,AP3S1,CISD1,ANXA2R,NDUFA12,CD300A,ARMCX3,ATG101,CISD2,BCAP31,GCLM,ARHGDIB,ATP6V1F,ING4,PFDN6,DOK2,C2orf74,IDI1,LYRM1,BRAF,ARHGAP9,KDM5A,B3GAT3,,GLO1,CHURC1,EIF4E,ARHGEF1,DCUN1D5,,,HPF1,GAS5,TSG101,EIF1AY,,APMAP,RASSF4,ASXL1,CAST,RBL2,ITGB1,,ARF4,,ADAP1,DCAF7,ANAPC16,NHP2,CSTF2T,CHMP1B,FRG1
GSAP,CMIP,CAPN15,ARMC8,APBA2,JMJD1C,,COPS5,SYNJ2,NFKBIZ,ASAH1,DR1,ARHGAP25,ATP6V1F,BRAF,APC,COPS2,ANXA7,PCBP1,CD52,ARSG,ATP6V0D1,CWC22,BCL2L1,HLA-DRA,ARL6IP1,B4GALT1,IQGAP1,PIGT,DPF2,C4orf3,IRF2BPL,MED4,BRD2,ARHGEF1,MED31,BAZ1A,,GLRX3,CRIPT,ERICH1,ARL16,DDX3Y,,,KLF2,GZMB,UBE2G2,ETFB,,ARHGAP25,RRBP1,ATP1A1,CCDC18-AS1,RPL13A,LINC01138,,ARL6IP5,,ADD1,DIAPH1,ANKRD11,NOTCH1,DDIT3,CIRBP,G3BP1
HPCAL1,COQ7,CASP8,ARPC2,APMAP,MICU2,,CPSF3,TAF7,PAK2,ATG12,E2F4,ARHGAP9,ATXN2L,C2orf74,ARF1,COX8A,AP2A2,PET100,CDK2AP2,ASAH1,B2M,CYP51A1,BOD1L1,HLA-DRB1,ARL6IP5,BANF1,LPCAT1,PIH1D1,DTD1,C6orf226,ITGB2,MIS18BP1,CLEC11A,ARL2BP,MTRF1L,BRD2,,GRK2,CTSC,ETFA,ARL4C,DNAJC1,,,MAP3K13,HMGN3,,FMR1,,ARHGDIA,SERF2,ATP6AP2,CCDC186,RPS15A,LONP2,,ARPC2,,ADD3,DNAJC19,ANKRD44,ODC1,DNAJB9,COX4I1,HMGB1
ID2,CPSF6,CD2AP,ARPC3,APPL1,NOSIP,,CREM,TMEM248,PIK3R1,ATP2A3,EHD1,ARHGDIB,AUP1,CALR,ARFGAP2,CYB5D2,AP2B1,PPP1R10,CHD4,ATG4B,BAZ1B,DDX17,BORCS5,IER3,ARPC1B,BIRC6,LSM8,RAB14,DTX3,CALM2,MAN1B1,NCOR1,CUTA,ARL4C,PDCD10,BTF3,,GSAP,DBI,FAM122B,ARL8B,DUS1L,,,MED13L,IFNGR1,,GFOD1,,ARID5B,SH3BGRL3,ATP6V1F,CCDC25,RPS29,MTPN,,ATP2B1,,ADGRG1,DUSP6,APMAP,OTULIN,EIF3J,CREM,HMGB2
JAGN1,CST7,CD2BP2,ATAD2B,ARF5,PRKAG1,,DALRD3,TMF1,PNISR,ATP6V0C,EID1,ARL4C,B2M,CCDC88C,ARHGDIB,CYHR1,APBB1IP,PRSS23,CLINT1,ATP6V0B,BCKDHA,DNAJC3,C19orf25,IGF2R,ARPC4,BORCS7,MAF1,RPS27L,ELOF1,CCL5,MDM2,NKTR,CYTIP,ARRDC2,PIGC,C18orf32,,GTF2A2,DDX21,FAM13B,ASB1,EIF2S3,,,MSN,INIP,,GPSM3,,ARIH1,STK24,BAG6,CHMP5,THRA,PCM1,,ATP6V0B,,ADH5,EMC6,ARAP2,PPIE,F11R,CTSW,HNRNPH3
LAMP1,CXXC5,CD83,ATF1,ARF6,PRKAG2,,DBI,UFM1,PPM1K,ATP6V0D1,EMC7,ARL6IP5,BANF1,CCDC90B,ARL4C,DCTD,APPL1,PTBP1,CLIP1,ATP6V0C,BIRC6,DNTTIP2,CALM2,ITGAL,ASCL2,BRD2,NAP1L4,RSL1D1,EMP3,CCT2,METAP2,PSIP1,DAZAP2,ASTE1,PPP1R12A,C9orf16,,HES6,EIF4A1,FAM49A,ATP1A1,EIF3E,,,NDUFS7,ISG15,,GTF3C6,,ARPC2,STMN1,BAZ2B,COQ10B,TNRC6B,RALY,,ATXN7L3B,,ADI1,ERH,ARF1,PRKCSH,FBL,DMAP1,HPRT1
MRPS36,DDHD1,CDC123,ATG2A,ARGLU1,PSMC5,,DNAJB6,XRN2,PSMA7,ATXN1L,FAM177A1,ARPC1B,BAZ1B,CCM2,ARL6IP1,DENR,ARAP2,RER1,COQ7,ATXN10,BTF3,DTNBP1,CARS,LRP10,ATF4,C19orf48,NEAT1,SCAMP2,FAM3C,CD160,NEU1,RNH1,DCTN3,AURKAIP1,RWDD1,CACYBP,,HMOX2,ETF1,FLI1,ATP1B3,EIF6,,,NFAT5,ISY1,,KLF10,,ATAD2,TFDP1,BCL10,DAXX,,RIOK3,,AURKAIP1,,ADSS,GATA3,ARHGEF1,RPS14,GGA1,DUSP2,IMPA1
NAAA,DPM3,CENPT,ATP6AP2,ARHGAP9,PTPN4,,EIF4B,,PSMB3,BANF1,FIBP,ASPSCR1,BBX,CCND2,ARL6IP5,DHRS3,ARF1,RPL27,COX17,ATXN2,C12orf75,DYNLL2,CCAR2,MAP4K1,ATMIN,C1orf43,NGDN,SMC6,FGR,CD164,NKTR,RPS3A,DDX49,BABAM1,SF3B5,CANX,,HNRNPC,FAAP20,FXR1,ATP6AP2,ELOF1,,,RPL36AL,ITGAM,,KLHDC3,,ATF4,TGIF1,BNIP3L,DCAF16,,RPS14,,B3GAT3,,AKAP8L,GLO1,ARID1A,RPS4Y1,GNL3,DYNLL2,KHDRBS1
NDUFA5,DTNBP1,CEP78,AURKAIP1,ARHGEF3,SCNM1,,FAM104B,,RPS29,BCAP31,FIP1L1,ATP2B4,BCL10,CDC37,ARPC4,DHRS4L2,ARF6,RPL41,CUTC,ATXN7L3B,C16orf91,EIF3D,CCDC82,MRPS5,ATP6V0B,CALM1,NOSIP,SNHG3,FUNDC2,CD300A,OCIAD1,SLC39A10,DEDD2,BZW1,SNHG16,CAST,,HNRNPL,FAM98C,GNAI3,ATP6V0D1,GPR65,,,RPL6,ITGB1,,LMNA,,ATG5,TMEM14C,BUD31,DHPS,,SCFD1,,BANF1,,AKTIP,GPATCH8,ARPC1B,SLC38A1,GNLY,ECH1,LBR
PDCD6,DYRK1A,CHD1,AZIN1,ARID4B,SLC25A3,,FAM3C,,SKAP2,BID,FUBP1,B2M,BEX4,CDC42,ASB8,DNAJB1,ARHGDIB,RPS29,DLD,AURKAIP1,C17orf49,EIF3M,CD3E,NARF,AUTS2,CANX,NSA2,TAF1D,FYTTD1,CD38,PCIF1,SUZ12,DFFA,CASP3,SNRPN,CBX3,,HSPA5,FIBP,GOLIM4,ATP6V0E1,HLA-DQB1,,,SERBP1,MAPKAP1,,MAP7D1,,ATP6V0C,TMUB1,CCDC18-AS1,DNAJB6,,SENP7,,BAZ2B,,ALOX5AP,GTF2A2,ARPC2,SSR2,GZMH,EIF3E,LYRM2
PPIL3,FAM89B,CNN2,B2M,ARIH1,SMAD5,,FRG1,,SYNC,BIRC6,FXYD5,B3GNT2,BRIX1,CEP135,ATF4,DNAJC19,ARHGEF1,SKAP1,DNAJC15,BAG5,C19orf48,EIF4G1,CDC5L,NME2,BOD1L1,CARHSP1,PCBP2,TGOLN2,GABARAPL1,CEBPZ,PCMT1,TERF2IP,EIF3H,CCDC82,TMEM123,CCAR1,,MXD4,FOXN3,GRB2,AURKAIP1,HSP90AA1,,,SF3A3,MAPRE1,,NAMPT,,AUP1,TUBA1A,CCND3,EIF4G1,,SPCS3,,BBIP1,,ALYREF,HIGD2A,ARPP19,TMEM256,KLRC2,ERP44,MTCH1
PPP3CA,FBXL15,COMMD2,BAX,ARMC8,SYNJ2,,FUNDC1,,TRAF3IP3,BRD2,GMIP,B3GNT7,BRK1,CHCHD5,ATP2A3,DPM1,ARHGEF3,SNAP47,DNAJC19,BAZ2B,C1QBP,EXOC7,CHMP1B,PDLIM2,C1orf43,CASP4,PIK3R1,TXN2,GADD45B,CELF1,PDE4A,WDR54,EIF3K,CCDC88C,TSPAN31,CCDC124,,MYO1G,GTF3A,HSP90B1,B3GNT7,JADE1,,,SNRPB2,NEAT1,,NIN,,B2M,TUBB,CCNT1,EZH1,,SRP72,,BLVRB,,ANAPC13,HLA-DQB1,ASXL1,TP53I13,LIME1,FAM177A1,PAFAH1B2
RAD9A,FCRL6,CSNK1G2,BBX,ATF7IP2,TMED10,,G3BP2,,UQCRC2,BRI3,KDM2A,BANF1,BZW1,CHD9,ATP2B1,EIF2S2,ARID4A,SNRNP200,DNAJC8,BCAP29,C9orf16,FAM204A,CHMP2A,PLEKHA2,CACYBP,CBX5,POLR2A,UBE2R2,GUK1,CFLAR,PIK3R1,ZAP70,EIF4A2,CCL4,TTC39B,CCDC167,,NFYB,GTF3C6,LAPTM4A,BAZ1B,KAT6A,,,SYAP1,NELFCD,,PECAM1,,BCAP31,,CDC26,FAM98B,,TAF7,,C17orf49,,ANKRD11,IFITM3,ATF6B,UQCRH,MOB2,FES,PLEKHG3
RMND5A,FOXN3,CTDSP1,BCAS2,ATG13,TMEM219,,GOSR1,,UXT,BROX,LYRM7,BCL11B,C1orf174,CHMP1A,ATP6V0C,EP300,ARL4C,SNRPN,DOCK8,BCKDHA,CAPZA2,FBXL3,CISD3,PRDX2,CALM1,CCT2,PPCS,WAPL,HELZ,CHMP1A,POM121,,EZR,CCND3,UGP2,CCPG1,,NOC2L,HNRNPA3,LRRFIP1,BLOC1S1,LYPLA1,,,TBCB,NFKBIZ,,PHF20L1,,BOLA2,,CDK13,FEZ1,,TSNAX,,C19orf53,,ANKRD12,KLRC3,ATG12,VASP,NDUFS3,GALNT11,PPIH
RPN2,GABARAP,CWC15,BEND7,ATMIN,TRAM1,,GPBP1L1,,,C11orf58,MANF,BCL2L1,CALM3,CHMP4B,AURKAIP1,EVI2B,ARL6IP5,SPOCK2,DUSP1,BTBD1,CARHSP1,FLOT1,CLEC2B,PTPN7,CALM2,CCT5,PPP6R3,WDR1,HMGN4,CMTM6,PPM1G,,FAM192A,CCZ1,WAC,CCZ1,,NR4A3,HNRNPC,LSM14A,BNIP2,MCRS1,,,YWHAB,PBXIP1,,PIM3,,CACUL1,,CELF2,GNPTAB,,XRN2,,CALCOCO2,,ANKRD28,LDHA,ATG2A,ZCCHC10,NPAT,GNL3L,PPIP5K2
S1PR4,GCC2,CXXC5,BLVRB,ATP6AP1,UFC1,,H2AFJ,,,C12orf57,MRPS34,BCLAF1,CAP1,CHST12,AUTS2,FAM107B,ARPC5L,STRAP,EGR1,BTG3,CASP8,FUS,CLIP1,QARS,CALR,CD63,PRPF38B,,HNRNPL,COPE,PPP1R15A,,FCGR3A,CD47,XRCC5,CDK2AP2,,P4HTM,HNRNPK,MEX3C,BRD3,MED10,,,,PCIF1,,PRMT2,,CBX3,,CEP135,H2AFZ,,ZFYVE16,,CARHSP1,,ANKRD40,MAP4K4,B4GALT1,ZNF274,POLR2J,GNPTAB,PPP1CB
SEL1L,GDI1,DCUN1D1,BOLA2,ATP8A1,UQCRQ,,HNRNPA2B1,,,C19orf25,NDUFS5,BIRC2,CAPZA1,CLSTN3,BAK1,FAM204A,ASAH1,SUB1,EHD4,C17orf49,CBLL1,GK5,CLPP,RHOT2,CAPZB,CERK,RAB27A,,HNRNPU,COX7A2,RAB27A,,FGFBP2,CDIPT,,CDV3,,PKN1,HSBP1,MPC2,C11orf58,MED17,,,,PLSCR1,,PUF60,,CCDC115,,CFLAR,HIRIP3,,,,CASP8,,ANKRD44,MARCKSL1,BAG6,,PSTPIP1,GOLGA7,PSMG2
SLC25A38,GDI2,DDX39B,BRAF,ATR,XRRA1,,KPNA3,,,C1QBP,NRROS,BLVRA,CARD16,CNOT4,BLVRA,FRG1,ASCC2,TM2D1,EIF3H,C6orf62,CBR4,HBA1,COMMD3,RYBP,CASP8,CFDP1,RARS2,,IFITM3,COX7A2L,RBM18,,GNLY,CENPC,,CGGBP1,,PRPF4B,HSPE1,NAPG,C17orf49,MPC2,,,,PPP1R10,,RAB6A,,CCDC167,,CLINT1,HMOX2,,,,CCDC115,,ANP32A,MRPS21,BANF1,,RBM3,HERC1,PTMA
SP3,GLYR1,DIAPH1,BRD2,BAZ2A,,,LARP7,,,CANX,NSUN6,BRAF,CASP10,COA1,BMS1,FRY,ATP6V1F,TMEM160,EIF4A1,CALCOCO2,CBX3,HBA2,CSNK1G2,SRPK2,CCNC,CFL1,RASSF1,,IFNAR1,CYBA,RBM3,,GTPBP1,CHMP4B,,CLDND1,,PTPN2,IL2RG,NBR1,C19orf48,MRPL22,,,,PPP1R18,,RBBP5,,CCDC174,,CLPP,HNRNPUL1,,,,CCDC65,,ANXA11,NAA50,BAZ2B,,RPL35A,HEXA,RAB8B
STAU2,GPBP1,DIP2A,C12orf75,BCAP31,,,LDHA,,,CAP1,NUCB1,BRIX1,CAST,COMMD6,BOD1L1,GPS2,ATP6V1H,TMEM59,EIF4G2,CBR4,CCDC14,HIGD2A,CTBP1,TNFRSF1B,CCNI,CHMP2B,RPL17,,IGFBP7,DCTN3,RHOG,,H2AFY,COMT,,CLNS1A,,QKI,ITPA,NDUFA9,CAMTA1,MYADM,,,,PPP2R5C,,RIPK2,,CCDC82,,CLTB,ISCA1,,,,CCDC82,,ANXA2,NFKBID,BCLAF1,,RUNX3,HNRNPH3,RNASEH2B
STK26,HNRNPK,DMTF1,C1QBP,BCCIP,,,MAPK14,,,CASP1,OARD1,BTN3A2,CBFB,COMMD9,BRIX1,IKZF1,ATRX,TOMM7,EVI2A,CCDC115,CCDC57,HINT1,CTDNEP1,UBE2B,CCT6A,COMTD1,RPL22,,IQSEC1,DDT,RRBP1,,HNRNPAB,COPS4,,CLTA,,RAB18,JAK1,NOSIP,CAPN2,NCOA4,,,,RHOG,,SQSTM1,,CCND3,,CMC2,ITGB7,,,,CCND3,,AOAH,NME1,BLCAP,,SLBP,JUND,RPL5
