ATF1_(+),ATF3_(+),ATF4_(+),ATF5_(+),BACH1_(+),BCL11B_(+),BCLAF1_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CHD1_(+),CLOCK_(+),CREB1_(+),CREB3_(+),CREB3L2_(+),CREM_(+),DBP_(+),E2F3_(+),E2F4_(+),E2F6_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELF4_(+),ELK1_(+),ELK3_(+),ELK4_(+),EOMES_(+),EP300_(+),ESRRA_(+),ETS1_(+),ETV3_(+),ETV6_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ2_(+),FOXO1_(+),GABPA_(+),GABPB1_(+),GATA3_(+),GATAD1_(+),HDAC2_(+),HMGA1_(+),HOXA10_(+),HTATIP2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),IRF1_(+),IRF4_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF12_(+),KLF3_(+),KLF9_(+),KMT2B_(+),MAFF_(+),MAFG_(+),MAFK_(+),MAX_(+),MAZ_(+),MBD2_(+),MECP2_(+),MLX_(+),MYC_(+),MZF1_(+),NFATC2_(+),NFIL3_(+),NFKB1_(+),NFKB2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PHF1_(+),PHF20_(+),POU2F1_(+),PURA_(+),RARA_(+),REL_(+),RELB_(+),RFX5_(+),RFXANK_(+),RXRA_(+),RXRB_(+),SATB1_(+),SMARCC2_(+),SP1_(+),SP3_(+),SREBF2_(+),STAT1_(+),TBP_(+),TBX21_(+),TCF12_(+),TCF3_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),THAP1_(+),THAP11_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB14_(+),ZBTB21_(+),ZBTB25_(+),ZBTB33_(+),ZBTB37_(+),ZBTB7A_(+),ZEB1_(+),ZFX_(+),ZFY_(+),ZNF100_(+),ZNF25_(+),ZNF267_(+),ZNF407_(+),ZNF431_(+),ZNF518A_(+),ZNF580_(+),ZNF611_(+),ZNF740_(+),ZNF770_(+)
,NAPA,,,NCAM1,,CYP51A1,SFPQ,HIPK3,DGKZ,PCF11,,,EPB41L4A-AS1,PYURF,CLDND1,,,,,IFNAR2,CETN3,MCL1,,,,,DIS3L2,HINT3,,BTN3A1,,,DPYD,CMTM6,PGM1,HNRNPDL,,,TMOD3,MTR,,MALT1,,,USP18,,GPBP1L1,,,RANGAP1,CDKN1B,SETBP1,COA6,,CSK,CDC37,CRELD2,ATXN2L,,,,,GPATCH2L,VPS25,,,ZNF529,G3BP1,IDS,GOLGA7,,NACA,,SFI1,SNHG8,IRF4,EIF1B,GCSH,STRBP,B4GALT3,,UBL7,,FAM3C,,RAPGEF6,,RABGGTB,,,,,SMARCA2,,,SESN1,CEP152,,CYP2R1,,,,WDR7,,,,RAB35,KLF13,COX16,CDKN1B,LINC00672,,,RNF111,,,CREBZF,,SLC35E3,,,,NFE2L2,,,STAT1,EIF4A2,,,
,NAT9,,,NCOA3,,DBT,SFSWAP,HM13,DIMT1,PCNX4,,,EPN1,RACK1,CLEC2B,,,,,IFT57,CFLAR,MEX3C,,,,,DNAJC1,HIST3H2A,,BUB3,,,DSTYK,CNDP2,PHTF1,HNRNPK,,,TOP3A,MTSS1,,MAP4K2,,,USP33,,GPCPD1,,,RBM8A,CDKN2AIP,SGMS1,COMMD7,,CSNK1G2,CDCA4,CRLS1,ATXN7L3B,,,,,GPBP1L1,YWHAZ,,,ZNF622,GALNT7,IL18R1,GORASP2,,NANS,,SH3GLB1,SNX18,ITGAV,EIF5A,GGA3,STX12,B4GALT5,,UBLCP1,,FAM43A,,RASGEF1B,,RANBP1,,,,,SNHG21,,,SETD5,CEP162,,CYP51A1,,,,WDR70,,,,RBM12,LCMT1,COX17,CDS2,LONP2,,,RNF19A,,,CSNK1A1,,SLC38A2,,,,NFKB1,,,STX7,EIF6,,,
,NDUFA13,,,NFATC2,,DCAF11,SLAIN2,HNRNPC,DLGAP1-AS1,PGRMC2,,,ERCC4,RAP1A,CLK1,,,,,IGSF8,CGGBP1,MFSD14C,,,,,DNAJC11,HLA-DPB1,,BZW1,,,DTX2,CNN2,PIN1,HNRNPU,,,TRIM21,MYCBP2,,MAZ,,,VPS36,,GPSM2,,,RCC1,CENPH,SGPL1,COMTD1,,CSTF2T,CDIP1,CSNK1G2,AURKAIP1,,,,,GPR137,ZAP70,,,ZNF721,GATAD1,IL2RG,GPBP1,,NCSTN,,SIK3,SPTLC2,ITPKB,ELMO2,GLB1,SYNJ2BP,BACH1,,ULK3,,FAM65B,,RBM17,,RAP1B,,,,,SNRNP200,,,SETDB2,CEP95,,CYTH4,,,,XIST,,,,RFX3,LETMD1,COX5B,CDYL,LPAR6,,,RORA,,,CSNK1G2,,SLF2,,,,NFKBIZ,,,SVBP,ELL,,,
,NDUFA4,,,NFIL3,,DDB1,SLC4A7,HNRNPF,DNAJC3,PHACTR4,,,ERCC6L2,RARS,CLSTN3,,,,,IL16,CHD1,MFSD4B,,,,,DNAJC13,HLA-DQB1,,C11orf58,,,DUSP1,CNOT2,PMF1,HNRNPUL1,,,TRIM26,NAMPT,,MBD6,,,ZBP1,,GRAP2,,,RCE1,CENPL,SKP1,COX16,,CTDSP1,CDIPT,CSRNP1,AUTS2,,,,,GPRIN3,ZNF134,,,ZNF91,GDI2,ILF2,GPBP1L1,,NDUFA13,,SIRT1,SQSTM1,IVNS1ABP,EMD,GLIPR2,TBC1D2B,BAG5,,URGCP,,FBXL20,,REL,,RBMXL1,,,,,SNTB2,,,SH3GLB1,CERS5,,DAXX,,,,YWHAB,,,,RNF213,LINC01003,COX6A1,CEBPG,LPCAT1,,,RTTN,,,CSTB,,SLK,,,,NORAD,,,TAF1,ELMO1,,,
,NDUFB3,,,NPC1,,DDHD2,SLC50A1,HSD17B7,DNPH1,PIK3C2A,,,ERGIC1,RASGRP1,CLTB,,,,,IL6ST,CHMP1B,MFSD5,,,,,DNAJC16,HLA-DRA,,C12orf75,,,DUSP23,CNPY3,PMPCA,HPS3,,,TRIOBP,NAP1L1,,MDH1,,,ZC3H15,,GTDC1,,,RELT,CEP44,SLC35E3,COX6A1,,CTSD,CDK4,CST3,AZI2,,,,,GRIPAP1,ZNF181,,,ZNF92,GLUL,ING3,GPCPD1,,NDUFA4,,SLC25A26,SREBF2,IWS1,ENO1,GLMP,TBK1,BANP,,USP33,,FBXO28,,RELB,,REXO1,,,,,STX16,,,SH3YL1,CFL1,,DAZAP2,,,,ZC3H13,,,,RNPEPL1,LINC01578,COX7A2,CELF1,LPCAT3,,,S100A10,,,CTCF,,SMAGP,,,,NPC1,,,TBC1D22A,ELOF1,,,
,NDUFS3,,,NUP50,,DDX39A,SMARCA2,HSPA5,DPYD,PIK3R1,,,ERGIC2,RBM3,CMC1,,,,,ING1,CHORDC1,MGME1,,,,,DNAJC17,HLA-DRB1,,C15orf61,,,DYNC1H1,COMMD1,POLR2E,HSPA9,,,TRNT1,NCK1,,MDM4,,,ZNF136,,HBS1L,,,RER1,CEP78,SLC36A4,COX6C,,CTSS,CDK5RAP3,CTBP2,AZIN1,,,,,GSE1,ZNF3,,,ZSCAN26,GMEB1,IQGAP1,GPR155,,NDUFB1,,SLC38A1,STAT5B,JAK1,ENSA,GLUL,TFB1M,BATF,,UTP23,,FBXO30,,RERE,,RFX5,,,,,SUPV3L1,,,SKAP1,CHD3,,DBI,,,,ZC3H18,,,,RPF2,LRRC58,COX7B,CELF2,LPIN2,,,SAP30,,,CTDSP1,,SMARCAD1,,,,NR3C1,,,TFAM,ELOVL1,,,
,NEDD9,,,NUP98,,DDX5,SMG6,HYOU1,DTD1,PJA2,,,ERLEC1,RGS9,CMIP,,,,,INPP5B,CHST11,MICU2,,,,,DNMT1,HMCES,,C16orf91,,,ECD,COMMD5,POLR3D,ICE2,,,TYMP,NDFIP1,,MECP2,,,ZNF195,,HECA,,,RHEB,CEP85L,SLC43A3,COX7A2,,CWC25,CDK9,CTNNB1,B3GALNT2,,,,,GTF2H3,ZNF595,,,,GNAS,IQSEC1,GPRIN3,,NDUFB7,,SLC44A2,STRBP,JMJD1C,EPS15,GMPPA,TFEB,BAZ1A,,UVRAG,,FBXO34,,RHOG,,RHBDF2,,,,,SYT11,,,SLAIN2,CHD4,,DBNL,,,,ZCCHC2,,,,RPP25L,LSM14A,COX7C,CENPB,LRCH1,,,SCAMP1,,,CUL3,,SNX18,,,,NSMAF,,,TFB1M,ELP5,,,
,NELFE,,,NUTM2A-AS1,,DDX6,SMS,IARS2,DTHD1,PLEKHA2,,,ERP29,RHOB,CMSS1,,,,,INTS3,CHURC1,MIF4GD,,,,,DOCK10,HMGB2,,C18orf21,,,ECI2,COMMD8,POP4,IFNGR1,,,TYW1,NDUFV2,,MED28,,,ZNF345,,HELZ,,,RHOT2,CERK,SMARCA2,CPEB2,,CYBA,CDKAL1,CTSD,B3GAT3,,,,,GTF2H5,ZNF738,,,,GNG5,ITGA5,GPSM2,,NDUFS3,,SLC9A3R1,STX4,JOSD1,ERF,GNB5,THOC2,BAZ1B,,VPS53,,FDXR,,RIPK2,,RHNO1,,,,,TADA2A,,,SLC25A36,CHD8,,DCAF5,,,,ZCCHC9,,,,RPS20,LSM3,COX8A,CENPF,LRIG2,,,SETD3,,,CUX1,,SPEN,,,,OPTN,,,THUMPD3,EMB,,,
,NFATC2,,,OPTN,,DENND1B,SNAPC1,ICE1,DTX3L,PLEKHO1,,,ESRRA,RMDN1,CNBP,,,,,IQCB1,CIR1,MIR4435-2HG,,,,,DOHH,HNRNPD,,C19orf12,,,EDC4,COMT,PPIA,ILKAP,,,UBA3,NFE2L2,,METTL14,,,ZNF384,,HERC4,,,RIT1,CFDP1,SNAP47,CPNE3,,CYP20A1,CDKN2AIPNL,CUL1,B3GNT2,,,,,GTF2I,,,,,GOLGB1,ITGA6,GRK5,,NDUFS8,,SLTM,STXBP3,JUND,EZH2,GOLPH3,TLE3,BBIP1,,XRCC5,,FLYWCH1,,RLF,,RNF11,,,,,TAF1B,,,SLC38A1,CHERP,,DCAKD,,,,ZFP36L1,,,,RTF1,LSM5,CREB1,CEP135,LRPPRC,,,SETD5,,,CWC22,,SPOPL,,,,OTULIN,,,TMCO1,EMC7,,,
,NFE2L2,,,OTULIN,,DENND4B,SNRNP200,IER2,DUSP16,PLSCR1,,,ETFA,RNF7,CNNM3,,,,,IRF2BPL,CIZ1,MON2,,,,,DPYD,HNRNPH1,,C1GALT1,,,EFCAB14,COPB2,PPIE,ING2,,,UBALD1,NFKB1,,METTL7A,,,ZNF43,,HERPUD2,,,RNF121,CFLAR,SREK1,CREBL2,,CYTH2,CENPH,CUTA,B4GALT4,,,,,GTPBP10,,,,,GOLIM4,ITGB1,GTF2A1,,NEDD8,,SNX13,SYTL3,KDM5B,FAM102B,GPANK1,TMEM165,BBX,,ZBTB41,,FTX,,RNMT,,RPA2,,,,,TBC1D14,,,SLC39A10,CHMP1A,,DCTN1,,,,ZFR,,,,RUVBL1,LYPLA1,CREB3L2,CEP164,LRRFIP1,,,SHPRH,,,CXorf40A,,SPPL2A,,,,OXSR1,,,TMEM260,EMC9,,,
,NME2,,,PAFAH1B1,,DESI2,SNRNP27,IFI27L2,DUSP28,PM20D2,,,EVI2B,RPL12,CNOT10,,,,,JAK3,CLDND1,MORF4L1,,,,,DTX3L,HNRNPR,,C1orf131,,,EIF2A,COPS3,PPP1CA,INIP,,,UBE2Q1,NOP10,,MFSD14B,,,ZNF639,,HMCES,,,RNF20,CGGBP1,SRGN,CREM,,DBI,CENPK,CWC22,B4GALT5,,,,,GTPBP8,,,,,GPR155,JKAMP,HBP1,,NELFE,,SNX27,TCAF2,KDM6B,FAM204A,GPBP1L1,TMEM205,BCAP31,,ZNF26,,FXR1,,RSL1D1,,RPP25L,,,,,TCTN3,,,SLC4A7,CHMP2B,,DCTN4,,,,ZKSCAN1,,,,RYK,LZTFL1,CSGALNACT2,CEP250,LUC7L3,,,SIAH1,,,CYB561D1,,SPTAN1,,,,PAFAH1B1,,,TMEM68,EML2,,,
,NPC2,,,PAK1,,DHFR,SNRPB2,IFRD1,DYNLT1,PPP2CA,,,EXOSC4,RPL15,CNOT4,,,,,JMJD1C,CLINT1,MRPS35,,,,,DYM,HTT,,C1orf21,,,EIF3G,COPS5,PPP1R15A,IRF2BP2,,,UBE2R2,NR1D2,,MFSD4B,,,ZNF92,,HMGB2,,,RNF4,CHD4,SRI,CRLF3,,DCAF11,CENPL,DAXX,BABAM1,,,,,GXYLT1,,,,,GRB2,KAT2B,HECA,,NFKB2,,SNX6,TFE3,KIFC3,FAM207A,GSDMD,TNK2,BCAS2,,ZNF430,,FYTTD1,,SAR1A,,RPRD1A,,,,,TFG,,,SLC7A1,CHMP4A,,DDX50,,,,ZMAT3,,,,SART1,MAD1L1,CST3,CEP57,LY75,,,SIAH2,,,CYB5R4,,SQLE,,,,PAK1,,,TMEM70,ENDOD1,,,
,NSA2,,,PANK3,,DHRS3,SNRPD2,IL32,DYRK2,PPP2R2A,,,FAM13A,RPL21,CNOT6L,,,,,JMY,CLK1,MTERF4,,,,,DYNC1H1,IDH3B,,C1orf52,,,EIF3H,COPS8,PREB,IRF4,,,UBE3A,NR4A2,,MGAT4B,,,ZSWIM8,,HMGXB3,,,ROMO1,CHMP1B,SRPK1,CROT,,DCAF13,CENPM,DAZAP2,BACH1,,,,,HDAC8,,,,,GSK3B,KAT6B,HELZ,,NME1,,SPTAN1,TGFBR3,KLF10,FAM3C,GSTK1,TPP2,BCKDHB,,ZNF48,,GALNT10,,SAR1B,,RPS4Y1,,,,,TINF2,,,SMARCD2,CHMP5,,DECR1,,,,ZNF638,,,,SCAF1,MAGT1,CTDNEP1,CEP63,MACF1,,,SIRT5,,,DAPK3,,SSBP2,,,,PARP8,,,TNPO2,ERC1,,,
,NSUN5,,,PDCD10,,DIAPH2,SPHK2,IL6ST,ECHDC1,PPP3CA,,,FAM174A,RPL22L1,COMMD7,,,,,JUNB,CLP1,MYL6,,,,,DYNLL1,IFI27L2,,C2CD5,,,EIF3M,COQ10B,PRIM2,ISCA1,,,USP19,OGT,,MKNK1,,,,,HNRNPA3,,,RPN1,CHMP2A,ST8SIA4,CRYL1,,DCBLD1,CENPT,DBNL,BACH2,,,,,HECA,,,,,GYG1,KCMF1,HIPK1,,NPM1,,SQSTM1,TIPRL,KLF6,FAM53B,GTF2B,TRAF3,BCL2L1,,ZNF544,,GATAD1,,SATB1,,RRAGA,,,,,TMEM101,,,SMIM8,CHPF2,,DEF6,,,,ZRANB2,,,,SDF2,MALT1,CTDSP1,CEP78,MANBA,,,SLC16A1,,,DAXX,,STAT1,,,,PDCD10,,,TP53BP1,ERN1,,,
,OGT,,,PDP1,,DIS3L,SRFBP1,ILF3,EDEM1,PPP4R3A,,,FAM214A,RPL24,COPA,,,,,KDM3A,CLPTM1,MYO1F,,,,,E2F3,IKBKB,,C2orf49,,,ELMOD3,COQ9,PRPS2,IVNS1ABP,,,USP37,OIP5-AS1,,MOB1B,,,,,HNRNPU,,,RPRD1B,CHMP2B,STAT5A,CSK,,DCUN1D1,CEP164,DCAF13,BAZ1A,,,,,HERC2,,,,,H2AFV,KIF2A,HMGB2,,NSA2,,STARD7,TMEM165,KPNA1,FAM76A,GTF3C5,TRAF3IP2-AS1,BCL3,,ZNF699,,GATAD2B,,SDCBP,,RUBCN,,,,,TMEM187,,,SNAI3,CHST12,,DENND2D,,,,ZSWIM8,,,,SF3B1,MANF,CUL2,CEP85L,MAPK8,,,SLC27A2,,,DAZAP1,,STIM2,,,,PHACTR2,,,TPR,ETF1,,,
,OST4,,,PHC2,,DLEU1,SRP14,IMPAD1,EDEM2,PREX1,,,FAM32A,RPL27A,COPB1,,,,,KDM4C,CMIP,N4BP2,,,,,E2F4,IMPAD1,,C3orf38,,,ELP3,CORO1A,PTPN9,JAK1,,,USP53,OSBPL3,,MPND,,,,,HNRNPUL2,,,RRAS,CHSY1,STAT5B,CSNK1A1,,DDX1,CFL1,DCTN4,BAZ1B,,,,,HMGB2,,,,,H2AFY,KMT2B,HNRNPC,,NSUN5,,STRBP,TNFAIP8,KTI12,FARS2,H2AFX,TRAPPC10,BCL7C,,ZNF75A,,GCLM,,SEC24A,,S1PR2,,,,,TMEM248,,,SNHG17,CHST2,,DENND3,,,,,,,,SF3B2,MAP2K1,CWC27,CEP95,MARCH7,,,SLF2,,,DAZAP2,,STRN,,,,PHLDA1,,,TRAF3IP3,EXOSC4,,,
,OSTC,,,PHLDB2,,DNAJB14,SRPK2,IMPDH2,EHBP1,PRKCQ-AS1,,,FAM91A1,RPL28,COPB2,,,,,KDM5A,CMPK1,NAA16,,,,,EAF1,IPCEF1,,C5orf56,,,EMC2,CORO7,PTS,JARID2,,,UTS2,OTUD4,,MR1,,,,,HSPA8,,,RRM1,CHTOP,STX2,CTBP1,,DDX39B,CHCHD1,DDA1,BAZ2A,,,,,HMGCS1,,,,,H2AFZ,KPNA4,HNRNPD,,NT5DC1,,STX11,TPD52,KTN1,FAS,H2AFZ,TTC14,BCLAF1,,ZNF790,,GDF11,,SEMA4C,,SAMHD1,,,,,TRAPPC6B,,,SNRPA1,CIAO1,,DENND4C,,,,,,,,SF3B5,MAP2K3,CXXC5,CERK,MARK4,,,SNHG6,,,DBT,,SUCLG1,,,,PHLDB2,,,TRAF7,EXOSC5,,,
,P4HB,,,PICALM,,DNAJB4,SRPRA,ING3,EHD4,PRPF39,,,FBL,RPL29,COQ10B,,,,,KIAA1328,CMPK2,NAA30,,,,,EDC4,IPO5,,C6orf62,,,ENTPD4,COX10,RAB11B,JOSD1,,,VPS13C,OTUD6B,,MRI1,,,,,IBTK,,,SCD5,CIB1,TCAF2,CTDSP1,,DDX46,CHCHD5,DDIT4,BAZ2B,,,,,HMGN1,,,,,H3F3A,LAG3,HNRNPR,,NUCB1,,STX12,TRAPPC10,LACTB2,FBXO34,HACD2,TTC21B,BDP1,,,,GDI1,,SERBP1,,SAP30L,,,,,TRIB2,,,SNRPE,CIR1,,DFFA,,,,,,,,SGSM2,MAP2K5,DAD1,CFDP1,MCRS1,,,SPAG1,,,DCAF12,,SYNC,,,,PI4K2B,,,TRAK1,EXOSC6,,,
,PARK7,,,PIK3R1,,DNAJC16,SRSF1,INO80,EIF1B,PRPF4B,,,FDX1,RPL32,COX19,,,,,KLRD1,CNEP1R1,NAT9,,,,,EFCAB14,ISCU,,C7orf73,,,ERAL1,COX16,RAD23A,JUND,,,WWP1,OTUD6B-AS1,,MRPS30,,,,,IDNK,,,SDHAF2,CLASP2,TES,CTNNBL1,,DDX58,CHD2,DDX3X,BBC3,,,,,HNRNPL,,,,,HAT1,LAMTOR2,HPF1,,OST4,,SVIP,TRIM8,LARS,FEZ1,HAUS3,TTC28-AS1,BFAR,,,,GGNBP2,,SESN1,,SBNO2,,,,,TRIM4,,,SNX1,CISD1,,DIAPH1,,,,,,,,SH3BP5L,MAPK1IP1L,DALRD3,CFL2,MED10,,,SSB,,,DCUN1D1,,SYNE2,,,,PICALM,,,TRANK1,FAM126B,,,
,PDCD2,,,PLSCR1,,DNAJC2,SSH1,INO80B,EIF2AK2,PSPC1,,,FIBP,RPL34,COX7B,,,,,KRBOX4,CNOT2,NCOA3,,,,,EFNA5,ITGA4,,C8orf33,,,ERI3,COX8A,RAN,KANSL1,,,YARS,OTULIN,,MTERF2,,,,,IFI30,,,SF3B5,CLASRP,TFEB,CTSS,,DDX60,CHMP1A,DDX3Y,BBIP1,,,,,HNRNPLL,,,,,HCG18,LAX1,HUWE1,,OSTC,,TBPL1,TRMO,LINC01128,FMNL3,HCLS1,TULP4,BIRC2,,,,GGPS1,,SH2B3,,SCD5,,,,,TSR2,,,SNX18,CLASP2,,DICER1,,,,,,,,SIVA1,MDH1,DBF4,CGRRF1,MED24,,,STAG1,,,DDA1,,TAF15,,,,PIM1,,,TRIM44,FAM217B,,,
,PDIA6,,,POLR3E,,DNAJC3,ST3GAL5,IQCG,EIF2B1,PTGER2,,,FIS1,RPL36,CPSF6,,,,,LARP7,CNOT6,NDUFA5,,,,,EHMT2,ITGB3BP,,CAAP1,,,EYA3,CPSF1,RBBP5,KDM2B,,,YWHAZ,P4HA1,,MTFR1L,,,,,IKZF1,,,SF3B6,CLINT1,TJAP1,CUL1,,DDX60L,CHMP1B,DDX5,BBS4,,,,,IFFO1,,,,,HEBP2,LEPROT,IGF2R,,P4HB,,TBRG1,TSC22D3,LINC01578,FNBP1,HDHD2,TYSND1,BIRC3,,,,GIMAP7,,SLC16A3,,SCOC,,,,,TTL,,,SPAG9,CLIP1,,DLGAP4,,,,,,,,SLC25A11,MEF2C,DBI,CHAMP1,MED28,,,STAT5B,,,DDB1,,TAF3,,,,PKM,,,TRIM56,FAM89B,,,
,PGLS,,,POM121C,,DNPEP,STAT6,IRF2BPL,EIF2B4,RAB21,,,FKBP11,RPL37,CREB1,,,,,LETM1,CNOT6L,NIFK,,,,,EID3,ITM2A,,CAB39,,,FAIM,CRACR2A,RBM3,KDM3A,,,ZBTB43,PAK2,,MTG1,,,,,IKZF3,,,SFPQ,CLSTN3,TMED10,CXCR2,,DLGAP1-AS1,CHMP2B,DDX6,BBX,,,,,IL12RB1,,,,,HELLS,LIMD2,IKZF1,,PAICS,,TBRG4,TTC39C,LMAN1,FNIP1,HIBADH,UBE2J2,BIRC6,,,,GLRX5,,SLC38A2,,SEC14L1,,,,,UBE4B,,,SPG11,CLTA,,DNAJA1,,,,,,,,SLFN12L,METAP1,DBNL,CHCHD2,METTL21A,,,STK39,,,DDX17,,TGFBR2,,,,PKN2,,,TRIP11,FAM98A,,,
,PGM2L1,,,PPCS,,DPH5,STK17B,IST1,EIF3G,RAB5A,,,FNDC3A,RPL6,CREBZF,,,,,LIG3,CNOT9,NIP7,,,,,EIF3L,JARID2,,CACUL1,,,FAM122C,CRCP,RFC2,KIR2DL3,,,ZFP36L1,PALLD,,MTPAP,,,,,IL32,,,SHC1,CLTA,TMEM263,CXCR3,,DNAJC13,CHN2,DEAF1,BCAS2,,,,,IL2RG,,,,,HENMT1,LINC-PINT,IKZF5,,PDCD2,,TES,UBE2D3,LSM10,FNIP2,HIGD2A,UCHL3,BLMH,,,,GLS,,SMAP2,,SEC22B,,,,,UBR7,,,SPTBN1,CMAS,,DNAJA2,,,,,,,,SMARCC2,METTL21A,DCAF13,CHD4,MFSD10,,,STRADB,,,DDX19A,,TGFBRAP1,,,,PLCL2,,,TSPO,FBXO4,,,
,PIGT,,,PPIF,,DSTN,SUGT1,JMJD8,EIF3J,RAB8B,,,FNDC3B,RPL7A,CREM,,,,,LINC01184,COA6,NKTR,,,,,EIF4EBP1,KAT6A,,CACYBP,,,FAM136A,CRELD1,RFC4,KLHL21,,,ZKSCAN1,PAPOLA,,MTRF1L,,,,,IMPA1,,,SLC25A17,CLTC,TNFAIP8,CYB561,,DNMT1,CHORDC1,DEDD2,BCL10,,,,,ILF2,,,,,HLA-DRB1,LINC00476,IMPA1,,PDIA4,,TFAM,UBE2E3,MAGOH,FOSL2,HILPDA,UGCG,BLOC1S6,,,,GNAI2,,SNX9,,SESN1,,,,,UBXN4,,,SREBF2,CMPK2,,DNAJA4,,,,,,,,SMIM7,METTL2B,DCAF5,CHD6,MGMT,,,STX16,,,DDX42,,TGS1,,,,PLEKHA1,,,TSTD2,FCGRT,,,
,PLAA,,,PPP1R12C,,DYNC1LI1,SUN2,JMY,EIF4EBP1,RALA,,,FUCA1,RPL8,CRIM1,,,,,LIPT1,COMMD7,NOP2,,,,,EIF4G2,KCMF1,,CALCOCO2,,,FAM219B,CRY1,RNF138,KMT2E,,,ZMAT3,PDE6D,,MYCBP,,,,,INO80,,,SLC35B1,CMC2,TOLLIP,CYBA,,DNPH1,CHTOP,DENND1A,BCL11B,,,,,INTS1,,,,,HLA-DRB5,LINC00963,ING1,,PDIA6,,TFCP2,UBE2H,MAGOHB,FOXP1,HIST1H2AG,UGGT1,BMS1,,,,GPN2,,SPAG1,,SF3B6,,,,,UCP2,,,SRSF11,CMTM6,,DNAJB1,,,,,,,,SMYD3,METTL3,DCAF8,CHD9,MIA2,,,STYX,,,DDX5,,TIA1,,,,PLEKHO1,,,TTC13,FCHSD2,,,
,PMPCB,,,PPP1R16B,,ECD,SURF1,JOSD1,EIF5B,RALGAPA1,,,FUCA2,RPLP1,CRTC3,,,,,LPIN1,COPB1,NR4A2,,,,,EIF4H,KCTD9,,CALM2,,,FAM49B,CSK,RPL13,KPNA4,,,ZNF263,PDLIM5,,MZF1,,,,,INTS3,,,SMARCD1,CMTM3,TP53RK,CYLD,,DNTTIP1,CIC,DENND2D,BCL2,,,,,INTS3,,,,,HLTF,LINC01003,INIP,,PET100,,TGFB1,UBE4A,MAP2K3,FURIN,HIST1H4C,USO1,BNIP3L,,,,GPR155,,SPTY2D1,,SFT2D1,,,,,USP1,,,STX16,CNOT10,,DNAJB11,,,,,,,,SNX14,METTL8,DCTD,CHMP3,MIB1,,,SUPT20H,,,DDX6,,TIAL1,,,,PLIN2,,,TTC37,FGD3,,,
,PNISR,,,PPP4R1,,ECI2,SYT11,JUND,ELL,RANBP2,,,FUNDC1,RPS12,CRYZL1,,,,,LTN1,COPG1,NSUN2,,,,,ELMO1,KDM3A,,CAMK2D,,,FBL,CSRP1,RPL28,LEPROTL1,,,ZNF518A,PDPR,,NAPG,,,,,INTS6-AS1,,,SMARCD2,CMTM6,TRAF1,CYP20A1,,DOCK11,CINP,DERL1,BCL2L1,,,,,IP6K2,,,,,HMGB1,LPCAT4,IQGAP2,,PHF14,,TGFBR3,USP12,MAPK1IP1L,FXR1,HIVEP3,USP8,BOD1,,,,GPR68,,SRSF3,,SH3BP5,,,,,USP38,,,STX17,CNP,,DOCK10,,,,,,,,SPICE1,MFN1,DCTN3,CHST11,MPV17,,,SUPT3H,,,DENND6A,,TM7SF3,,,,PNRC2,,,TUBA1A,FKBP5,,,
,PNKP,,,PPP4R2,,EDEM3,TCTN3,KARS,ELMSAN1,RBM12B,,,FXYD5,RPS14,CS,,,,,MAGED1,COPS5,NUAK1,,,,,ELP5,KDM4B,,CAMSAP1,,,FBXL12,CST3,RPL31,LINC01578,,,ZNF524,PHC3,,NCOR1,,,,,IP6K1,,,SMC5,CNIH4,TRAF7,DAPK2,,DOCK8,CIRBP,DESI1,BCL2L11,,,,,IPO8,,,,,HMGB2,LPGAT1,IRF2BP2,,PIGK,,TIMM21,USP16,MAPK6,FYN,HMBOX1,VRK2,BOD1L1,,,,GPR89B,,STARD4,,SLC12A6,,,,,VPS26A,,,SYAP1,CNST,,DOK1,,,,,,,,SREK1,MKLN1,DCTN4,CHST12,MRFAP1,,,SUSD6,,,DEXI,,TM9SF3,,,,PPP1CB,,,TXLNG,FLAD1,,,
,PNO1,,,PPTC7,,EED,TFDP2,KAT5,ELOVL6,RBM18,,,GADD45A,RPS19,CSGALNACT2,,,,,MARCH9,COQ2,NUB1,,,,,ELP6,KIAA0100,,CAND1,,,FBXL6,CSTB,RPL35,LITAF,,,ZNF562,PHF20L1,,NDUFAF6,,,,,IQGAP2,,,SMS,CNOT2,TRAPPC13,DBI,,DPP7,CKLF,DHDDS,BCL6,,,,,IQCG,,,,,HMOX2,LRIF1,IVNS1ABP,,PIGT,,TMCC3,USP3,MCCC2,GABPA,HMGB1,WBP2,BOLA2,,,,GPSM2,,STAT5A,,SLC25A11,,,,,VPS4B,,,SYNCRIP,COA4,,DPH7,,,,,,,,SRPK2,MKRN1,DCXR,CHTOP,MRPL16,,,SYNGR1,,,DGKE,,TMCC1,,,,PPP2R2A,,,TXNRD1,FLOT1,,,
