ARID3A_(+),ARID5B_(+),ARNTL_(+),ATF1_(+),ATF4_(+),ATF6B_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREB3L2_(+),CREM_(+),CTCF_(+),CUX1_(+),DDIT3_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXO3_(+),FOXP1_(+),GATA3_(+),GATAD1_(+),GATAD2A_(+),GTF2I_(+),HMBOX1_(+),HMG20B_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAX_(+),MGA_(+),MLX_(+),MXD1_(+),MXD4_(+),MYBL1_(+),NFATC2_(+),NFE2L2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PBX2_(+),PHF20_(+),PRDM1_(+),PURA_(+),RUNX3_(+),RXRB_(+),SMARCC2_(+),SP3_(+),STAT1_(+),STAT3_(+),STAT6_(+),TAF6_(+),TBX21_(+),TCF7_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB43_(+),ZBTB7A_(+),ZFP91_(+),ZFX_(+),ZNF148_(+),ZNF224_(+),ZNF226_(+),ZNF274_(+),ZNF33A_(+),ZNF350_(+),ZNF429_(+),ZNF480_(+),ZNF518A_(+),ZNF580_(+),ZNF600_(+)
,KLF9,AVL9,RHOC,FLNA,PCBP1,MFNG,,ANXA6,DYNC1I2,CCNL1,BABAM1,CD69,JAK1,RAP2B,COX17,RHOG,,PSMF1,,,ADH5,BBX,EMP3,C2orf76,EIF2A,ALOX5AP,CD58,ARMC8,FOSB,GPX4,SYAP1,DHX15,BUB3,IKZF1,,STOM,WIPF1,IER2,POC1B,ARL2BP,,AP3S1,CREM,,ANXA11,IL2RB,C3orf38,CEP78,HSH2D,CASP10,FGR,MIS18BP1,ANAPC11,ARHGAP9,ANXA11,COX7B,DDHD1,FAM3C,DDX39B,GSN,JOSD2,ITM2A,,,HSP90B1,COX7C,,C16orf91,SH2D1B,CARHSP1,,ARAP2,GADD45B,CD58,AKIRIN2,EIF3H,,CDC42SE1,CBX3,,ATP6V0D1,CCDC57,CCPG1,,AURKAIP1,,TAX1BP1,IDS,EIF2S2,ARL2BP,AHSA1,AKR1B1,,ATP1A1,TTC14,DHRS7,PLCL2,,TMEM120B,GIMAP1,,,NME2,,BRMS1,BTF3,
,MDM4,BORCS7,STARD3NL,GART,RAMP1,PLEKHF1,,AP1S2,ECHDC1,CEP78,BIRC2,CD8A,KBTBD3,RBM39,CREB3L2,RPL9,,RALY,,,AKAP9,BCLAF1,FKBP11,CDC37,EIF2B5,ANXA1,CIRBP,ATG5,HCP5,HBP1,TRAM1,DNM1L,C16orf91,IL2RB,,USP7,,LSP1,RPS23,ARL5A,,API5,EIF4E,,AP5M1,ING4,C9orf16,CHMP1B,ICAM3,CCDC115,H2AFV,OCIAD1,ANKRD17,ARHGDIA,ANXA4,CTNNB1,FAM107B,MDH1,DHX36,KLHL20,KMT2E-AS1,N4BP2L1,,,IQGAP2,CST7,,CDK13,SYTL3,CCZ1,,ARGLU1,HMGN4,CD69,ANAPC15,EVI2B,,CHD3,CCDC14,,BAZ1A,CCT8,CD2BP2,,B3GAT3,,TNFRSF1B,MATK,EIF2S3,ARPC2,ANXA7,ALOX5AP,,ATP6V1F,ZFP91,DSTN,RAB27A,,TRIM33,H3F3B,,,TFDP1,,C1QBP,BTG1,
,PRPF38A,CBLB,USP8,HMGXB4,RPL13A,PSMB2,,APEH,EEA1,COMMD3,BUD31,CDC42EP3,KIR2DL3,SCAF11,DHRS3,RPLP2,,RPL7,,,ANKRD49,BLOC1S6,FKBP8,CDC42,EMC4,ANXA4,CMPK1,ATP11B,JARID2,IKZF1,,EIF3A,CAMTA1,ING4,,VCL,,NSRP1,SQSTM1,BABAM1,,APOBR,EPC1,,APEX1,ITGB1,CAT,CHMP2A,IRF1,CCDC174,HLA-F,PSIP1,AP2B1,ARMC8,ANXA5,DAXX,FUBP1,NDUFA12,DNAJB6,LCP1,MGA,ORMDL3,,,KIDINS220,DDX6,,CFLAR,,CD47,,ARHGDIA,MAGOH,CMTM3,ANAPC16,FAM177A1,,CLTC,CD226,,CARD8,CERS4,CD46,,C19orf48,,YWHAQ,METRNL,EPC1,ASAH1,AP2B1,ANKFY1,,ATP6V1G1,ZNF33A,EPC1,ZFAND5,,TUSC2,HNRNPF,,,,,CCAR1,C1orf131,
,RAP1A,CD2,ZBTB38,IKZF3,RPL3,PYURF,,APOBEC3C,IRS2,CSK,BZW1,CDK11B,MED10,SNRPD2,DHX30,RPS4Y1,,RPS14,,,ANP32E,BOLA2B,FUS,CHCHD2,EP300,ANXA6,CNOT8,BCAS2,JUN,LTV1,,FBXO32,CCNY,JTB,,,,PRKACB,TAOK3,BATF,,APOL6,FAM107B,,APTX,MOB4,CCNL1,COL6A2,JUN,CCDC85B,HNRNPA0,RAP1B,APC,ASAH1,AP2B1,DTYMK,GATAD2A,PRMT2,DUSP1,MAX,MYL12A,PPP4C,,,KLF6,EBAG9,,CHMP5,,CD7,,ARHGEF1,ME2,HNRNPD,ANKHD1,FAM49B,,CYTH4,CLTC,,CCDC88C,CIAPIN1,CD7,,CBX3,,ZNF75A,NSMCE3,FAM177A1,ATF6B,APH1A,ANKRD13A,,BAX,,GABARAP,ZNF148,,USP48,PDCD6,,,,,CCDC88B,CCDC115,
,SNRNP27,CD96,ZNF644,KLF13,RPL35A,RNF138,,ARHGAP15,LTV1,CTSD,C1orf21,CFDP1,MICU2,SPAG7,DNAJC1,SMC5,,SH3BGRL3,,,ANXA4,BST2,GIMAP4,CHCHD7,EVI2B,AOAH,COMMD9,BCL2L13,LINC00623,LUC7L2,,FOXP1,CCT5,KLRF1,,,,RAD23A,TXN2,BLOC1S1,,ARID1B,GPN1,,ARL5A,MTDH,CD164,COX6B1,MIS18BP1,CEBPD,HPS3,RBM27,APOL2,B2M,APLP2,EIF3H,GTF3C6,PSMA6,ESCO1,OARD1,NACA,SNRPN,,,MRPS21,EEF1A1,,CLINT1,,CKS2,,BAZ1A,PIGT,IL2RB,ANKRD11,GSDMD,,DAB2,CMTM6,,CCSER2,CITED2,CDKN2D,,CCT2,,,PHF11,GCHFR,ATP2A3,ARAP2,AP1M1,,BAZ1B,,GABPB1-AS1,,,ZNF226,PTGDS,,,,,CCL4,CCDC59,
,STK4,DDX3X,,LMBRD1,RPS11,SASH3,,ARHGAP9,MIER1,CX3CR1,C1orf52,CGRRF1,NDUFB2,SRI,DUSP1,SNHG6,,TACC1,,,AP1M1,BTN3A2,HNRNPA0,CHD2,EXOSC6,ARF1,CYLD,BNIP2,MRPL18,MRPL20,,GLRX2,CCT6A,MTDH,,,,RPS6KA1,UBE2V2,BRK1,,ARID2,HSP90AB1,,ARPC2,NUCKS1,CEP135,CTSC,NDUFAF4,CHMP2A,IFRD1,RPS24,APOL6,B3GAT3,ARF1,FOS,H2AFV,SF3B1,FKBP1A,PAIP2,NCOR1,SSR2,,,PPP4R3A,FAM50A,,COPZ1,,CNOT1,,BPGM,PTPRE,KLRF1,ANKRD13D,ITGB2,,DENND1B,COX6A1,,CD53,COMMD3,COA5,,CCT6A,,,RASA2,GGA1,ATP6V0D1,ARF4,AP2M1,,BLMH,,KIAA0355,,,,SEC62,,,,,CCNC,CCT3,
,TSPYL1,DENND2D,,MORF4L2,SBF1,SCLT1,,ARHGDIA,MTRF1L,CYLD,CAPZA2,CHCHD5,NMUR1,XAF1,EIF6,UBA52,,UBE2D3,,,AP1S2,C19orf53,MCM3,CHST2,GNA13,ARHGAP1,CYTH1,BTG1,MZF1-AS1,MRPL33,,HNRNPH3,CCT8,NUCKS1,,,,SH3BP1,UQCRB,C2orf74,,ARID5B,KLF6,,ATP1A1,PCM1,CERS5,ERBIN,NOP58,CIRBP,IRF2BPL,SECISBP2,ARGLU1,BAZ1B,ARF4,GADD45B,HEXB,SFSWAP,FOS,PNRC2,PARK7,TAPBP,,,PRPF38B,GZMB,,COX6C,,CYTH1,,BRD2,SNHG8,LAPTM5,ANP32E,MANF,,DHX9,CPSF6,,CD81,COX7A2,COPE,,CD44,,,TOP2B,GTF2F1,ATP6V0E1,ARPC3,APEH,,BNIP3L,,LBH,,,,SMARCE1,,,,,CDK2AP2,CD59,
,UPP1,DYNLL1,,NXF1,SRSF3,STAU1,,ARL2BP,PRPF4B,DNAJB9,CARD16,CHD2,NOSIP,,EMC4,UQCRH,,,,,AP2B1,C8orf33,MYH9,CLK1,IQGAP1,ARHGAP30,DCK,CALCOCO1,NSMCE1,MYADM,,KLHL20,CD320,OAZ1,,,,SQSTM1,VAMP2,CAMK2G,,ARL2,LIMS1,,ATP6V1H,PRR13,CNOT2,EVI2B,PHC3,CLTA,IRF8,SMAD7,ARHGDIB,BCAS2,ARHGAP4,GNAI3,HMOX2,SNRPE,FOXP1,POLR2F,PLEKHA1,UBA52,,,RAB14,HIST1H1C,,DBI,,DCAF10,,BZW1,SUMO1,MIEN1,ANXA4,MARK3,,DIDO1,CSNK1A1,,CDC37,CYTH1,COPS6,,CDV3,,,TPT1,LPIN2,AUP1,ARPC4,APOBEC3C,,BORCS7,,MDH2,,,,SYF2,,,,,CHMP1B,CDC37,
,ZRANB2,GLIPR2,,PLCL2,TM7SF3,TRAM1,,ARL5A,RAP2C,EIF1,CCDC115,CHMP2A,PABPN1,,FAAP20,ZNF394,,,,,AP2M1,C9orf16,NDUFA12,CLTB,JAK1,ARHGDIB,DIAPH1,CARD19,OCIAD1,NR4A2,,MAP2K2,CD44,PCM1,,,,SRSF7,,CAPRIN1,,ARL4C,ORMDL1,,ATP8A1,PSMB6,COPA,GLCCI1,PRKCH,CORO1A,JUNB,SMARCA4,ARHGEF6,BCKDHA,ARHGDIB,HLA-DQB1,HP1BP3,STAMBP,GADD45B,PPP2R5A,PPP2R5C,UGP2,,,RAB8B,ITGA4,,DDB1,,DEDD2,,C12orf75,SYF2,MOB3A,AP2B1,NFKB2,,DNAJA1,CXXC5,,CFLAR,DENND2D,CTSB,,CHCHD2,,,TRABD,LSM6,AURKAIP1,ARPC5,ARF3,,BTG1,,MECP2,,,,ZNF274,,,,,CHURC1,CMC1,
,,HMGN2,,PRPF8,TMEM18,UBXN7,,ARMC10,RBCK1,EIF1B,CCL4L2,CMTM6,PRKAR1A,,FKBP11,,,,,,ARAP2,CAST,OAZ1,CMC1,KTI12,ARNTL,EIF2B4,CCL4,PDGFD,POLR1D,,MSRA,CEBPZOS,PSMB6,,,,TNFRSF18,,CARD8,,ATF1,PSMB10,,B2M,RHOC,CORO1A,IDS,PRPS1,COX6A1,LAMTOR4,SNRPD2,ARL2,BTF3,ARHGEF9,HNRNPA2B1,IRF1,SYF2,GNG10,PRR13,RAD23A,VTI1B,,,RPL4,JMJD1C,,EIF3D,,DEK,,C1orf162,VPS4B,MRPL20,APMAP,NUCKS1,,EIF4B,DECR1,,CHD6,ERP29,CUL2,,CHMP2A,,,TRIM22,MIB2,B3GALT4,ARRB2,ARHGDIB,,C1QBP,,MIR4435-2HG,,,,ZNF655,,,,,CIR1,COMMD5,
,,HNRNPK,,RAB18,UCP2,UCHL5,,ARPP19,RPL22L1,ELP5,CD160,COQ10B,PTMA,,GLOD4,,,,,,ARHGAP26,CBLB,PPHLN1,CNOT7,LINC01138,ARPC1B,EIF3K,CCL5,PHF14,PSMD7,,NAXE,CFLAR,RHOC,,,,ZFR,,CASP4,,ATF6B,PTPN2,,BABAM1,ROMO1,COX7A2,IRF2,PSME2,CSNK1D,LITAF,TAOK3,ARPC1A,BTG1,ARID4B,HSPB11,IRF2BP2,SYNE1,HLA-DRB5,PRSS23,RPL15,,,,RPS15A,KLF6,,EIF3G,,DENR,,C9orf16,,NCOR1,ARF6,NUDC,,EIF5,EIF2S3,,CHD9,FAM133B,DANCR,,CHMP4B,,,USF2,MXD4,B4GALT3,ASAH1,ARMC10,,C1orf122,,MPG,,,,,,,,,CNDP2,COPE,
,,HSP90B1,,RBM4,WDR33,,,ARRB2,TMF1,ENO1,CD96,COX20,RCSD1,,GNLY,,,,,,ARHGDIB,CBX4,PTPRC,COPA,MAPRE1,ARPC3,EIF4G2,CCNI,POLR1D,RHOC,,PIAS2,CGRRF1,RPS14,,,,,,CCL4,,ATP5I,RBM25,,BIN2,RPL21,CST7,KMT2C,RERE,DBI,LYRM2,TMEM106B,ARPC4,C16orf91,ARMC6,IFT20,KIAA2026,TLE4,IL2RB,PSMA6,RPS19BP1,,,,SEC22B,LAPTM4A,,EIF5A,,DNAJC1,,C9orf78,,NONO,ARGLU1,POLD4,,ETNK1,EVL,,COPE,GLYR1,DBI,,CLIC1,,,,NBEAL1,BCL2L1,ASXL1,ARPC2,,C9orf16,,MRPL14,,,,,,,,,COMMD1,CSNK1A1,
