ARNTL_(+),ASCL2_(+),ATF1_(+),ATF2_(+),ATF4_(+),ATF6_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BDP1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CHD1_(+),CHURC1_(+),CREB1_(+),CREB3_(+),CREM_(+),CTCF_(+),CUX1_(+),CXXC1_(+),DDIT3_(+),DRAP1_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ3_(+),FOXN2_(+),GATA3_(+),GATAD1_(+),HIF1A_(+),HMBOX1_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),KLF6_(+),KLF9_(+),MAF_(+),MAFF_(+),MAX_(+),MAZ_(+),MECP2_(+),METTL14_(+),MTF2_(+),MXD4_(+),NFAT5_(+),NFATC2_(+),NFATC3_(+),NFE2L2_(+),NFKB1_(+),NFKB2_(+),NFYB_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),NR4A1_(+),PHF20_(+),POU2F2_(+),PRDM1_(+),PURA_(+),RAD21_(+),REL_(+),RELB_(+),RFXANK_(+),RUNX1_(+),RUNX3_(+),RXRB_(+),SATB1_(+),SIRT6_(+),SMAD2_(+),SMAD3_(+),SOX4_(+),SP3_(+),SREBF2_(+),STAT1_(+),STAT6_(+),TAF1_(+),TAF6_(+),TBX21_(+),TFDP1_(+),THAP11_(+),THRA_(+),TP53_(+),UBP1_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBED1_(+),ZBTB11_(+),ZBTB2_(+),ZBTB24_(+),ZBTB25_(+),ZBTB43_(+),ZBTB7A_(+),ZFX_(+),ZKSCAN1_(+),ZNF148_(+),ZNF160_(+),ZNF22_(+),ZNF493_(+),ZNF518A_(+),ZNF580_(+),ZNF791_(+)
,,,,NAAA,,,,CNIH4,,MAD2L2,LRRFIP2,LAPTM4A,VAMP1,,,,,,,,,,,FAM3C,MRPS34,DPM1,DZIP3,POR,MICU2,,CEBPD,,GAPDH,FDX1,CUL1,,,,GYG1,,,,,,,GOLPH3,,DDX6,DCAF7,,CTSD,,SSR1,DNPEP,PSME2,,CFAP20,C7orf50,,,,CCNI,,,,,MAPK1IP1L,,GPBP1,,,,,,USF2,,,,,NFYB,,,,,FUBP1,,,PPIG,,,,,,,,,,,,,RAD50,,MT1F,WBP1,,,DPP9,HNRNPR,,,,,,,CDC42SE2,COPE,,,,,,,CDIP1,,,,,,,,EIF2AK1,
,,,,NACA,,,,CNOT10,,MAFF,LSP1,LENG8,WDR18,,,,,,,,,,,FAM49B,NCK1,DPY30,ECHS1,PPP1R10,MIER1,,CELF2,,GAS5,FOS,CYCS,,,,GZMK,,,,,,,GPANK1,,DENND2D,DCLRE1C,,CXXC5,,STAT1,DOK1,PTGER2,,CFAP97,C9orf16,,,,CCNL1,,,,,MAPKAPK3,,GSN,,,,,,VPS25,,,,,NGDN,,,,,GADD45A,,,PPP1R18,,,,,,,,,,,,,RANBP9,,MTCH1,WBP2,,,DR1,HOPX,,,,,,,CDIPT,COPS4,,,,,,,CDK13,,,,,,,,EIF2B2,
,,,,NAP1L1,,,,CNOT4,,MAGOH,MAEA,LINC00623,WIPF1,,,,,,,,,,,FBXO33,NDUFAF2,DTD1,EFR3A,PRPF4B,MKRN1,,CEP57,,GAS7,FOSB,CYTH2,,,,H3F3B,,,,,,,GPX4,,DENR,DCP2,,CYCS,,TADA3,DPP9,PTPN6,,CHCHD7,CA5B,,,,CCNY,,,,,MATK,,GTF3C1,,,,,,VPS8,,,,,NIN,,,,,GATAD2A,,,PPP3CC,,,,,,,,,,,,,RARS2,,MYO1G,XRCC5,,,DUS1L,IER3IP1,,,,,,,CDK11B,COPS6,,,,,,,CDK6,,,,,,,,EIF3B,
,,,,NCLN,,,,CNPPD1,,MAN1A1,MAP3K8,LITAF,XIST,,,,,,,,,,,FBXO7,NEAT1,DUS1L,EGR1,PTPRE,MMADHC,,CERS2,,GDI1,FUS,DANCR,,,,HDAC10,,,,,,,GRIPAP1,,DGKD,DCTN3,,CYLD,,TAPBPL,DUSP2,PTPRC,,CHD2,CAB39,,,,CCSER2,,,,,MFF,,GXYLT1,,,,,,XIST,,,,,NOC2L,,,,,GDI2,,,PPP6R2,,,,,,,,,,,,,RASA2,,N4BP2L2,ZBTB20,,,DUSP2,IFI16,,,,,,,CELF2,CPQ,,,,,,,CDKN1B,,,,,,,,EIF4A3,
,,,,NCOR1,,,,CNTRL,,MAPRE2,MARS,LMNA,ZBTB2,,,,,,,,,,,FCER1G,NEDD1,DUSP10,EIF3A,PUM3,MPPE1,,CERS4,,GNG2,FXYD5,DAP,,,,HDAC7,,,,,,,GXYLT1,,DHPS,DCTPP1,,DAZAP2,,TBPL1,DUSP6,RAB7A,,CHD4,CALM2,,,,CCT6A,,,,,MGMT,,H2AFV,,,,,,XRN2,,,,,NR1D2,,,,,GFER,,,PRKCSH,,,,,,,,,,,,,RASSF7,,NDUFS4,ZC3H12A,,,EAPP,IGFBP7,,,,,,,CENPH,CREBRF,,,,,,,CDV3,,,,,,,,ELF1,
,,,,NFAT5,,,,COMMD5,,MECP2,MAT2B,LRMP,ZBTB20,,,,,,,,,,,FERMT3,NEU1,DYRK2,EIF3D,RAB35,NAA38,,CFLAR,,GNGT2,G3BP2,DAPK3,,,,HES6,,,,,,,HACD4,,DHRS1,DDX39A,,DBNL,,TNIK,DYNC1H1,RAD50,,CHKB,CALR,,,,CD164,,,,,MIS12,,HAUS2,,,,,,ZC3H13,,,,,NUDC,,,,,GLRX5,,,PRPF31,,,,,,,,,,,,,RBMX2,,NEAT1,ZFP36L1,,,ECH1,IMMP1L,,,,,,,CEP135,CRTC3,,,,,,,CEBPB,,,,,,,,EMP3,
,,,,NIPBL,,,,COPA,,METTL21A,MCRS1,LRPAP1,ZMYND8,,,,,,,,,,,FES,NFKBIA,ECHDC2,EIF3H,RAB6A,NAP1L4,,CGGBP1,,GOLT1B,GADD45B,DAXX,,,,HEXA,,,,,,,HAUS1,,DHX9,DDX46,,DDB1,,TOMM20,DYRK2,RAP1A,,CHMP1B,CAMLG,,,,CD37,,,,,MNT,,HELZ,,,,,,ZC3H18,,,,,NUDT1,,,,,GMIP,,,PSMA1,,,,,,,,,,,,,RFC2,,NELFCD,,,,ECHDC2,INTS6,,,,,,,CFAP20,CSNK1D,,,,,,,CEBPG,,,,,,,,ENOPH1,
,,,,NME1,,,,COPB2,,MIIP,ME2,LRRFIP2,,,,,,,,,,,,FKBP4,NFKBIB,EEF1E1,EIF3I,RAB7A,NDUFS3,,CHCHD3,,GPATCH8,GAS5,DBF4,,,,HMGN3,,,,,,,HDDC2,,DNAJB14,DECR1,,DDX17,,TOR1AIP2,ECI2,RBM3,,CHPF2,CARD11,,,,CD44,,,,,MOB4,,HGS,,,,,,ZNF451,,,,,NUP98,,,,,GMPS,,,PSMB1,,,,,,,,,,,,,RICTOR,,NFE2L2,,,,EEF1E1,ISCA1,,,,,,,CFDP1,CSNK1E,,,,,,,CELF1,,,,,,,,ENY2,
,,,,NSMCE1,,,,COTL1,,MRPL45,MED30,MALT1,,,,,,,,,,,,FLOT1,NFKBID,EIF1AD,EIF4B,RABAC1,NECAP1,,CHD1,,GPN1,GATA3,DCTN4,,,,HNRNPD,,,,,,,HEIH,,DNAJB6,DEK,,DDX21,,TRAPPC2,EFHD2,RBM8A,,CIAO1,CASC4,,,,CD47,,,,,MRFAP1,,HMG20B,,,,,,,,,,,PBRM1,,,,,GNG5,,,PTP4A2,,,,,,,,,,,,,RPN1,,NIPAL3,,,,EEF2,ITGB1,,,,,,,CFL1,CSNK1G2,,,,,,,CELF2,,,,,,,,EP400,
,,,,NTAN1,,,,COX14,,MSI2,MIER1,MAP3K8,,,,,,,,,,,,FRG1,NFKBIZ,EIF2A,ELF2,RASA3,NIFK,,CHD2,,GRB2,GGA1,DDOST,,,,HNRNPH3,,,,,,,HMGB2,,DNAJC15,DHX15,,DDX3X,,TRIM39,EFTUD2,REL,,CITED2,CASP4,,,,CD58,,,,,MRPL10,,HNRNPD,,,,,,,,,,,PDLIM5,,,,,GOLGA4,,,PTPN12,,,,,,,,,,,,,RSU1,,NME2,,,,EFHD2,ITGB1BP1,,,,,,,CFLAR,CSNK2A1,,,,,,,CERS2,,,,,,,,EPB41,
,,,,NUP98,,,,COX16,,MTDH,MRPL16,MATK,,,,,,,,,,,,FTH1,NME2,EIF2B2,ELOVL1,RB1CC1,NR1H2,,CHD3,,GSN,GNG10,DDX18,,,,HOTAIRM1,,,,,,,HMGN1,,DNAJC7,DNAJB14,,DDX5,,TRIM44,EIF2AK2,RHOC,,CLASRP,CASP8AP2,,,,CD63,,,,,MRPL14,,HPF1,,,,,,,,,,,PET100,,,,,GOPC,,,RALY,,,,,,,,,,,,,SCOC,,NUP210,,,,EFR3A,JUN,,,,,,,CHCHD2,CSTF2T,,,,,,,CERS5,,,,,,,,EPRS,
,,,,NXT1,,,,CPSF3,,NADK,MRPL18,MCRS1,,,,,,,,,,,,FXYD5,NMI,EIF3D,ELP6,RBMX,NRDC,,CHMP2B,,GSTP1,GNL2,DDX3X,,,,IARS,,,,,,,HMGN2,,DOK2,DNAJB6,,DDX6,,TSC2,EIF3D,RHOG,,CLEC11A,CBX4,,,,CD69,,,,,MRPL3,,HSPA4,,,,,,,,,,,PFKP,,,,,GPATCH4,,,RASGRP1,,,,,,,,,,,,,SDCBP,,ORAI2,,,,EIF4EBP2,KATNBL1,,,,,,,CHCHD3,CTBP2,,,,,,,CFDP1,,,,,,,,ERGIC1,
,,,,OTUD5,,,,CPSF7,,NAGK,MRPL20,MED30,,,,,,,,,,,,G6PD,NR4A1,EIF3H,EMP3,REST,NT5C,,CHMP3,,GTF2F1,GPATCH3,DDX3Y,,,,IFRD1,,,,,,,HNRNPUL1,,DPM1,DNMT1,,DENND4C,,TSPOAP1,EIF4H,RNF19A,,CLIP1,CCDC65,,,,CDC123,,,,,MRPS15,,HSPD1,,,,,,,,,,,PIM1,,,,,GPN1,,,RBL2,,,,,,,,,,,,,SHPRH,,OSBPL8,,,,EIF5A,KHSRP,,,,,,,CHD1,CTCF,,,,,,,CFLAR,,,,,,,,ERH,
,,,,PAN3,,,,CREB3L2,,NDUFA1,MRPL40,MED6,,,,,,,,,,,,GABPB1-AS1,NUDT14,EIF3M,ENC1,RHOT1,OAZ1,,CHRAC1,,GZMK,GSPT1,DDX49,,,,IGF2R,,,,,,,HSP90AA1,,DPP8,DOCK8,,DHRS1,,TXN,EIF5A,RPF1,,CLK1,CCDC85B,,,,CDC42,,,,,MRPS7,,IDS,,,,,,,,,,,PIN4,,,,,GPS1,,,RBM3,,,,,,,,,,,,,SLC35A3,,OSTC,,,,EIF5A2,KLRK1,,,,,,,CHMP1A,CTDSP2,,,,,,,CHI3L2,,,,,,,,EVL,
,,,,PARP15,,,,CREBZF,,NDUFC1,MRPS31,METRNL,,,,,,,,,,,,GCHFR,NUDT5,EIF4B,EXOC1,RNH1,OGT,,CHST2,,GZMM,GTF2F1,DDX5,,,,IL27RA,,,,,,,IAH1,,DPP9,DPM1,,DNAJB6,,UBAC2,ELF1,SAP18,,CLTC,CCL4,,,,CDC42EP3,,,,,NAA38,,IFI16,,,,,,,,,,,PLEKHA1,,,,,GPS2,,,RBM8A,,,,,,,,,,,,,SLIRP,,PABPN1,,,,ENTPD1-AS1,LAGE3,,,,,,,CHMP2A,CTDSPL2,,,,,,,CHMP2B,,,,,,,,EXOSC1,
,,,,PDCD6,,,,CRIPT,,NIPA2,MRPS34,METTL17,,,,,,,,,,,,GGA1,OFD1,EIF5B,FAM122A,RORA,OSTC,,CIB1,,HENMT1,GTF2H5,DDX52,,,,IP6K1,,,,,,,ID2,,DTD1,DTYMK,,DNAJC2,,UBE2D2,ELMSAN1,SCP2,,CMC1,CCL5,,,,CDC42SE2,,,,,NACA,,IL16,,,,,,,,,,,POLR2J,,,,,GRIPAP1,,,RBMX2,,,,,,,,,,,,,SMAD2,,PACS1,,,,EPC1,LASP1,,,,,,,CHRAC1,CTNNB1,,,,,,,CHST12,,,,,,,,FAM13B,
,,,,PDE4A,,,,CTBP2,,NNT,MTRF1L,MRPL3,,,,,,,,,,,,GID8,ORMDL1,ELF1,FAM172A,RSL1D1,OSTM1,,CINP,,HINT1,GTPBP1,DFFA,,,,IRF1,,,,,,,IFITM1,,DTYMK,DUT,,DNAJC8,,UBE2Q2,EMC7,SDF2,,CMC2,CCM2,,,,CDC73,,,,,NECAP2,,INPP5D,,,,,,,,,,,PPM1A,,,,,GZMB,,,RELB,,,,,,,,,,,,,SMARCE1,,PAM,,,,ERBB2,LDHA,,,,,,,CIB1,CTNNBIP1,,,,,,,CHST2,,,,,,,,FAM162A,
,,,,PDPR,,,,CTDNEP1,,NOP56,MXD4,MTG1,,,,,,,,,,,,GIMAP6,OSTC,EP300,FAM3C,S1PR5,PABPN1,,CISD3,,HLA-DPA1,H3F3A,DHPS,,,,ISCU,,,,,,,IKZF1,,DYNC1H1,DYNC1I2,,DPH7,,UCHL5,EML3,SERBP1,,CMTM3,CCNH,,,,CDIP1,,,,,NFATC2IP,,INTS10,,,,,,,,,,,PPP2R5E,,,,,H2AFZ,,,RNF213,,,,,,,,,,,,,SMIM12,,PCIF1,,,,ERCC3,LIG1,,,,,,,CINP,CUTC,,,,,,,CIAO1,,,,,,,,FAM177A1,
,,,,PDXDC1,,,,CTDSP1,,NR4A2,MZT2B,MTPN,,,,,,,,,,,,GLIPR2,PEX2,EP400,FAM50A,SATB1,PCBP1,,CKLF,,HLA-DRB1,H3F3B,DLG1,,,,ISG20L2,,,,,,,IL16,,DYNLRB1,DZIP3,,DPP7,,USP3,EMP3,SERP1,,CMTR2,CCNI,,,,CDK12,,,,,NFKBID,,IQGAP1,,,,,,,,,,,PPP4C,,,,,HAUS2,,,S100A11,,,,,,,,,,,,,SNHG3,,PIK3R1,,,,ERV3-1,LSM14A,,,,,,,CIRBP,CXXC5,,,,,,,CIRBP,,,,,,,,FAM192A,
,,,,PHYKPL,,,,CTDSPL2,,NUTM2B-AS1,NCALD,MVB12A,,,,,,,,,,,,GNAI2,PGK1,EPB41,FAM53C,SGK3,PCYT2,,CKS2,,HMGA1,HERC2,DNAJA1,,,,ITGA4,,,,,,,IQGAP2,,EDF1,EFCAB2,,DTNBP1,,USP48,ENTPD1-AS1,SLC25A11,,CNIH4,CCNL1,,,,CEBPD,,,,,NR1H2,,ISCA1,,,,,,,,,,,PPP6R1,,,,,HCG18,,,SARAF,,,,,,,,,,,,,SNW1,,POLD4,,,,ESCO1,LSM4,,,,,,,CISD3,CYTH1,,,,,,,CIZ1,,,,,,,,FAM53B,
,,,,PLSCR1,,,,CTNNBL1,,NXT2,NEAT1,MYO1G,,,,,,,,,,,,GNB2,PHF1,ERLEC1,FBL,SH3BP1,PFN1,,CLIC3,,HMGN4,HEXIM1,DNAJB1,,,,ITGB2,,,,,,,IQSEC1,,EFHD2,EGR1,,DUS1L,,VIPR2,EP400,SLC38A10,,CNOT10,CCNT1,,,,CELF1,,,,,NR4A2,,ITGAL,,,,,,,,,,,PRADC1,,,,,HECA,,,SARS,,,,,,,,,,,,,SP3,,POLR2B,,,,ETFA,LSM8,,,,,,,CKLF,DAZAP1,,,,,,,CLASP1,,,,,,,,FES,
,,,,POLDIP2,,,,CTR9,,PARP9,NEK7,MYOM2,,,,,,,,,,,,GNG5,PHLDA1,ERO1B,FBXO7,SH3KBP1,PHB2,,CLK3,,HNRNPA0,HGS,DNAJC1,,,,ITPR1,,,,,,,IREB2,,EIF2S2,EIF1AY,,DUSP1,,WBP1,EPSTI1,SLFN5,,CNOT9,CCT2,,,,CELF2,,,,,NUP58,,IWS1,,,,,,,,,,,PRPF38A,,,,,HERC1,,,SAT1,,,,,,,,,,,,,SPAG7,,POP5,,,,ETS1,MAD2L2,,,,,,,CLEC2B,DBI,,,,,,,CLDND1,,,,,,,,FGR,
,,,,PPCS,,,,CUL4A,,PCIF1,NFKBID,N4BP2L2,,,,,,,,,,,,GNL1,PHTF1,ETF1,FGD3,SKAP1,PLEC,,CLPX,,HNRNPA1,HGSNAT,DNAJC7,,,,JUND,,,,,,,ITGAM,,EIF3D,EIF2B1,,DYNC1H1,,YTHDC1,ERBIN,SMAD7,,CNPPD1,CCT5,,,,CEP350,,,,,NUTM2B-AS1,,KAT6A,,,,,,,,,,,PRPSAP1,,,,,HMGXB4,,,SDF4,,,,,,,,,,,,,SPCS3,,PPP1R10,,,,EXOC7,MAF1,,,,,,,CLIC1,DCTD,,,,,,,CLIC1,,,,,,,,FHL3,
,,,,PPP1R12A,,,,CUL5,,PCNX4,NIPBL,NADK,,,,,,,,,,,,GNPAT,PIK3C2A,ETFA,FGR,SKIL,PLSCR1,,CNOT7,,HNRNPC,HIPK1-AS1,DPM1,,,,KDM2B,,,,,,,ITGB1BP1,,EIF3G,EIF3M,,E2F4,,ZNF148,ERP44,SMIM19,,COASY,CD160,,,,CEP78,,,,,OSER1,,KBTBD2,,,,,,,,,,,PSMA3,,,,,HNRNPA0,,,SH2D1B,,,,,,,,,,,,,SPON2,,PPP3CA,,,,F2R,MAGOH,,,,,,,CLINT1,DDB1,,,,,,,CLNS1A,,,,,,,,FIP1L1,
,,,,PRKAA1,,,,CYBA,,PDE6G,NNT,NDUFA13,,,,,,,,,,,,GNPTAB,PLCG2,ETS1,FKBP1A,SLK,PNPLA2,,CNPY3,,HSD17B12,HIST1H1C,DPP8,,,,KIR2DL3,,,,,,,ITPKB,,EIF3M,EIF4B,,ECH1,,ZNF331,F2R,SNX5,,COG3,CD164,,,,CEP85L,,,,,PABPC1,,KCTD20,,,,,,,,,,,PSMD7,,,,,HNRNPD,,,SIPA1,,,,,,,,,,,,,SPPL3,,PRELID3B,,,,FAM207A,MCM3,,,,,,,CLPP,DDT,,,,,,,CLPTM1L,,,,,,,,FLNA,
,,,,PRKAG1,,,,CYHR1,,PEX2,NOL10,NDUFAF3,,,,,,,,,,,,GPATCH4,PLEKHF2,FAM117A,FNIP1,SMAD7,POP5,,COASY,,IFI6,HLA-DMA,DTYMK,,,,KLF6,,,,,,,JMJD1C,,EIF4H,EIF5A,,EDF1,,ZNF394,FAM107B,SPON2,,COMMD1,CD226,,,,CHCHD2,,,,,PAFAH2,,KDM5B,,,,,,,,,,,PTGES3,,,,,HNRNPF,,,SLFN5,,,,,,,,,,,,,SREK1,,PRPF6,,,,FBXO6,MCM5,,,,,,,CLTA,DDX19B,,,,,,,CLTA,,,,,,,,FMNL1,
,,,,PRMT9,,,,CYP20A1,,PMS2,NR4A1,NDUFB8,,,,,,,,,,,,GPBP1L1,POLD2,FAM122A,FOS,SMIM7,PPID,,COG4,,IL12RB1,HLA-DPA1,DUS1L,,,,KLHDC3,,,,,,,JOSD2,,EIF5A,EIF5B,,EDRF1,,ZNF622,FBXO25,SRP19,,COMMD10,CD247,,,,CHCHD3,,,,,PLAC8,,KLHDC4,,,,,,,,,,,PTPRC,,,,,HNRNPH3,,,SMCR5,,,,,,,,,,,,,SRRM2,,PSMA3-AS1,,,,FCF1,MCM7,,,,,,,CMTM6,DDX21,,,,,,,CLTB,,,,,,,,FRYL,
,,,,PSMG3,,,,CYSLTR1,,PNISR,NRDC,NOP58,,,,,,,,,,,,GRK6,POLR2H,FAM172A,FOXK1,SND1,PPP1CC,,COMMD3,,IL16,HLA-DRB1,DUSP1,,,,LAX1,,,,,,,JTB,,EIF5B,EIF6,,EFHD2,,,FBXO7,STARD7,,COMT,CD37,,,,CHCHD5,,,,,PMAIP1,,KLHL24,,,,,,,,,,,PUM2,,,,,HPF1,,,SMIM19,,,,,,,,,,,,,STK4,,PSMB10,,,,FCGR3A,MED15,,,,,,,CNIH4,DDX3Y,,,,,,,CMC2,,,,,,,,FXR1,
,,,,PTRH1,,,,CYTH2,,PNPLA8,NUBP1,NR4A2,,,,,,,,,,,,GTF2F1,POLR2L,FAM192A,FOXO3,SNW1,PPP2R2A,,COPB1,,IL18RAP,HNRNPA0,DUSP10,,,,LBR,,,,,,,KIR3DL2,,EOMES,ELAVL1,,EGR1,,,FBXW5,STOML2,,COPS2,CD3E,,,,CHD3,,,,,PNKP,,KLHL36,,,,,,,,,,,RAB18,,,,,HSPA8,,,SMIM4,,,,,,,,,,,,,STRAP,,PSME1,,,,FES,MED4,,,,,,,COMMD1,DENND1C,,,,,,,CMIP,,,,,,,,FXYD5,
,,,,RAB22A,,,,DAP,,PPP1R15A,NUDT22,NSMCE3,,,,,,,,,,,,GTF2F2,PPP1R15A,FAM49B,FOXP1,SRRM1,PPP4C,,COPE,,IL32,HNRNPD,DYRK1A,,,,LINC00861,,,,,,,KLF13,,EPS15,ELF2,,EIF1,,,FCER1G,STX16,,COPZ1,CD44,,,,CHD4,,,,,PPIG,,KLRK1,,,,,,,,,,,RBM23,,,,,IGBP1,,,SNRPA,,,,,,,,,,,,,STRN,,PUS7L,,,,FLAD1,MIER1,,,,,,,COMMD2,DENND4B,,,,,,,CMTM6,,,,,,,,GAB3,
,,,,RALA,,,,DARS,,PRMT9,OARD1,ODC1,,,,,,,,,,,,GTPBP4,PPP1R15B,FCRL3,FRG1,SSR3,PRKAR1A,,COPS9,,IPCEF1,HNRNPUL1,DYRK2,,,,LMAN1,,,,,,,KLRG1,,ERGIC2,ELOVL5,,EIF1AY,,,FDPS,TAGAP,,COQ10B,CD46,,,,CHMP1A,,,,,PPIP5K2,,KRR1,,,,,,,,,,,RHEB,,,,,IL12RB1,,,SNX1,,,,,,,,,,,,,STXBP3,,R3HDM4,,,,FLI1,MIF,,,,,,,COPB2,DFFA,,,,,,,CNBP,,,,,,,,GALNT10,
,,,,RHOT2,,,,DAXX,,PSMB5,OAT,OXR1,,,,,,,,,,,,GZMB,PPP2R2B,FERMT3,FRMD8,ST13,PRPS1,,COQ4,,IQGAP2,HSPA5,EBPL,,,,LMNA,,,,,,,KRCC1,,ERI3,ENY2,,EIF2A,,,FNBP1,TMED2,,COQ7,CD47,,,,CHMP2A,,,,,PPP1CA,,KXD1,,,,,,,,,,,RSRC2,,,,,INO80C,,,SPOCK2,,,,,,,,,,,,,SYF2,,RAD23B,,,,FNIP1,MOB1A,,,,,,,COPE,DHRS3,,,,,,,CNOT1,,,,,,,,GALNT11,
,,,,RPL13A,,,,DBI,,PTAR1,ODC1,P4HB,,,,,,,,,,,,GZMH,PRDM2,FHL3,FTX,STARD3,PSMC6,,COTL1,,JARID2,HSPA9,EEF1A1,,,,LTB,,,,,,,KRIT1,,ERV3-1,ERH,,EIF2S3,,,FRYL,TMEM173,,COX4I1,CD69,,,,CHMP2B,,,,,PPP1R11,,LAIR1,,,,,,,,,,,S100PBP,,,,,IREB2,,,SRP9,,,,,,,,,,,,,TAF7,,RAP1A,,,,FRA10AC1,MORF4L1,,,,,,,COPS3,DHX30,,,,,,,CNOT6L,,,,,,,,GIMAP4,
,,,,RPL17,,,,DCP2,,PTPRE,OSTC,PARP15,,,,,,,,,,,,HAT1,PRKAG2,FKBP8,FUNDC2,STK17A,PSMD7,,COX6B1,,JTB,ICE1,EEF1D,,,,M6PR,,,,,,,KTN1,,ESYT2,ERI3,,EIF3D,,,FUNDC1,TMEM208,,COX5A,CD81,,,,CHMP4B,,,,,PPP1R15A,,LCK,,,,,,,,,,,SF1,,,,,IWS1,,,SRSF5,,,,,,,,,,,,,TAX1BP1,,RASSF1,,,,FTSJ1,MPC1,,,,,,,CORO1A,DHX40,,,,,,,COA4,,,,,,,,GIT2,
,,,,RPL21,,,,DCTN1,,RAB5A,OXR1,PCED1B-AS1,,,,,,,,,,,,HDDC2,PRMT9,FLAD1,FXYD5,STOML2,PSME3,,CPNE1,,KARS,ID2,EFCAB14,,,,MAFF,,,,,,,LAP3,,ETFA,ETFA,,EIF3E,,,GBP4,TMEM223,,COX8A,CD8A,,,,CHST2,,,,,PPP1R15B,,LENG8,,,,,,,,,,,SFSWAP,,,,,KANSL1,,,SSBP4,,,,,,,,,,,,,TEX30,,RBBP7,,,,FUT11,MPHOSPH8,,,,,,,COX11,DHX9,,,,,,,COG3,,,,,,,,GLO1,
,,,,RPL27,,,,DDX39A,,RAB6A,PABPC1,PDCD4,,,,,,,,,,,,HMGB1,PRPF4B,FNDC3B,GABARAP,SURF6,PTEN,,CREB1,,KDM5C,IER2,EGR1,,,,MAGOH,,,,,,,LAS1L,,EVI2B,EVL,,EIF3F,,,GCC2,TMEM44-AS1,,CPEB4,CD96,,,,CLASP1,,,,,PPP2R5E,,LEPROTL1,,,,,,,,,,,SH3BP2,,,,,KATNBL1,,,STRAP,,,,,,,,,,,,,THUMPD3-AS1,,RBM22,,,,G3BP2,MRPL28,,,,,,,COX14,DNAJB14,,,,,,,COL6A2,,,,,,,,GLT8D1,
,,,,RPL27A,,,,DDX3Y,,RBM18,PCGF5,PKN1,,,,,,,,,,,,HMGN3,PRR7,FNIP1,GADD45B,SYNGR1,PTPN12,,CREBRF,,KIAA2013,IFNG,EID1,,,,MAN1A1,,,,,,,LETM1,,EVL,EZR,,EIF3K,,,GEMIN7,TMEM59,,CPNE1,CDC16,,,,CLDND1,,,,,PRKAG1,,LINC01578,,,,,,,,,,,SKA2,,,,,KIR3DL2,,,SUMO1,,,,,,,,,,,,,TM9SF2,,RBM38,,,,G6PD,MRPL48,,,,,,,COX16,DPM1,,,,,,,COMMD3,,,,,,,,GMPS,
,,,,RPL28,,,,DDX5,,RBX1,PCM1,PLCL2,,,,,,,,,,,,HNRNPC,PSMB8,FURIN,GCHFR,TAF1D,PTPN4,,CREBZF,,KIF2A,IFRD1,EIF1AY,,,,MARCH6,,,,,,,LINC01138,,EXOC4,FAM162A,,EIF4G3,,,GID8,TMX4,,CPSF6,CDC37,,,,CLIP1,,,,,PRR7,,LPGAT1,,,,,,,,,,,SLCO3A1,,,,,LAP3,,,TAF12,,,,,,,,,,,,,TRAF3IP3,,REEP5,,,,GALT,MRPL57,,,,,,,COX17,DPP9,,,,,,,COMMD5,,,,,,,,GNA13,
,,,,RPL29,,,,DDX6,,REL,PDCD4,PNRC1,,,,,,,,,,,,HNRNPD,PYCARD,FXR1,GCLM,TAOK1,PYCARD,,CRLS1,,KRAS,IFT20,EIF1B,,,,MCL1,,,,,,,LITAF,,FAM111A,FAM168B,,EIF5,,,GIMAP4,TOR2A,,CSNK2A1,CDC42,,,,CLNS1A,,,,,PRRC2C,,LPIN1,,,,,,,,,,,SMC3,,,,,LGALS8,,,TAGAP,,,,,,,,,,,,,TSSC4,,RFXANK,,,,GATAD1,MRPS14,,,,,,,COX5B,DPY30,,,,,,,COMMD9,,,,,,,,GNAS,
,,,,RPL37,,,,DFFA,,RFC2,PEBP1,PPP1CA,,,,,,,,,,,,HNRNPK,RAP2C,GAB3,GFER,TCIRG1,RAD23A,,CS,,LAIR1,IGFBP7,EIF2A,,,,MECP2,,,,,,,LRCH3,,FAM3A,FAM200B,,EIF5A,,,GIMAP7,TPRKB,,CSRNP1,CDC42SE2,,,,CLSTN1,,,,,PTAR1,,LPIN2,,,,,,,,,,,SNAPIN,,,,,LINC01138,,,TM9SF3,,,,,,,,,,,,,TXNIP,,RHOG,,,,GATAD2A,MRPS34,,,,,,,COX6A1,DTD1,,,,,,,COQ10B,,,,,,,,GNL3L,
